feuille,id,qte,famille
E01,CH,29,APPAREIL DE CHAUFFAGE ELECTRIQUE EXISTANT
E01,I,13,COMMUTATEUR UNIPOLAIRE EXISTANT
E01,PC,14,PRISE DE COURANT DOUBLE EXISTANTE
E01,T,24,THERMOSTAT EXISTANT
E03,AF,4,AVERTISSEUR DE FUMEE MURAL 120V
E03,BJ,2,BOITE DE JONCTION POUR RACCORD (FUTURE) D'UN LAVE-VAISSELLE
E03,CP,2,PRISE DE COURANT POUR CUISINIERE 50A-120/240V
E03,CT,4,PRISE DE COURANT AU DESSUS D'UN COMPTOIR
E03,CU,20,COMMUTATEUR UNIPOLAIRE 15A-125V
E03,EV,2,EVACUATEUR DE TOILETTE. VOIR VENTILATION.
E03,GF,6,PRISE DE COURANT AVEC DISJONCTEUR DIFFERENTIEL DE FUITE A LA TERRE
E03,IC,2,INTERCOME (CONTROLE DE PORTE)
E03,LA,6,LUMINAIRE AU MUR TYPE A
E03,LB,2,LUMINAIRE AU PLAFOND TYPE B
E03,LC,2,LUMINAIRE LINEAIRE TYPE C
E03,LF,4,LUMINAIRE AU MUR TYPE F
E03,LG,2,LUMINAIRE AU MUR TYPE G
E03,PC,34,PRISE DE COURANT DOUBLE 15A-125V
E03,PL,14,PLINTHE DE CHAUFFAGE (hors legende - R-001)
E03,PN,2,PANNEAU DE LOGEMENT (hors legende - R-001)
E03,RA,2,RACCORD DIRECT D'UN APPAREIL SPECIAL
E03,SE,2,PRISE DE COURANT SIMPLE 30A-120/240V
E03,TE,2,SORTIE TELEPHONIQUE
E03,TH,10,THERMOSTAT (hors legende - R-001)
E03,TV,2,SORTIE POUR CABLO-DISTRIBUTION (TV)
E04,AF,4,AVERTISSEUR DE FUMEE MURAL 120V
E04,BJ,2,BOITE DE JONCTION POUR RACCORD (FUTURE) D'UN LAVE-VAISSELLE
E04,CG,6,PRISE DE COURANT AU DESSUS D'UN COMPTOIR - DDFT
E04,CP,2,PRISE DE COURANT POUR CUISINIERE 50A-120/240V
E04,CT,2,PRISE DE COURANT AU DESSUS D'UN COMPTOIR
E04,CU,18,COMMUTATEUR UNIPOLAIRE 15A-125V
E04,EV,2,EVACUATEUR DE TOILETTE. VOIR VENTILATION.
E04,GF,2,PRISE DE COURANT AVEC DISJONCTEUR DIFFERENTIEL DE FUITE A LA TERRE
E04,IC,2,INTERCOME (CONTROLE DE PORTE)
E04,LA,4,LUMINAIRE AU MUR TYPE A
