feuille,designation,qte
DSI01,A,36
DSI01,K,29
DSI01,DT,28
DSI01,DF,13
DSI01,F,11
DSI01,MA,3
DSI01,PAI,1
DSI01,RA,1
DSI02,K,14
DSI02,MIBA,13
DSI02,DF,10
DSI02,F,8
DSI02,DT,8
DSI02,RFL,4
DSI02,MA,2
DSI02,PAI,2
DSI02,MA2,1
DSI03,A,24
DSI03,DT,22
DSI03,K,20
DSI03,F,12
DSI03,DF,9
DSI03,MA,5
DSI03,PAI,1
DSI03,RA,1
DSI04,MIBA,12
DSI04,K,11
DSI04,F,8
DSI04,DF,8
DSI04,DT,8
DSI04,RFL,4
DSI04,MA,2
DSI04,PAI,2
DSI04,MA2,1
DSI05,K,35
DSI05,DT,33
DSI05,A,24
DSI05,DF,14
DSI05,F,11
DSI05,MA,3
DSI05,PAI,1
DSI05,RA,1
DSI06,MIBA,11
DSI06,K,10
DSI06,DF,8
DSI06,F,6
DSI06,DT,6
DSI06,RFL,3
DSI06,MA,2
DSI06,PAI,2
DSI06,MA2,1
DSI07,K,35
DSI07,DT,35
DSI07,A,22
DSI07,DF,14
DSI07,F,10
DSI07,MA,3
DSI07,PAI,1
DSI07,RA,1
DSI08,MIBA,11
DSI08,K,10
DSI08,DF,8
DSI08,F,6
DSI08,DT,6
DSI08,RFL,3
DSI08,MA,2
DSI08,PAI,2
DSI08,MA2,1
E02,LOGEMENTS RDC,6
E02,LOGEMENTS 2E,6
E02,LOGEMENTS 3E,6
E02,3E,6
E02,2E,6
E02,RDC,6
E02,CE1,4
E02,CE2,4
E02,CE3,4
E02,PS,2
E02,MATS,2
E02,BJ,1
E02,CTRL,1
E02,HQ,1
E02,C,1
E02,COL6,1
E02,COL1,1
E02,COL2,1
E02,COL3,1
E02,COL4,1
E02,COL5,1
E02,CE-COMMUN,1
E02,PRINCIPAL,1
E02,TRANSFERT,1
E02,G,1
E02,HQ-ANCIEN,1
E02,MIN,1
E02,S,1
E02,PS-ANCIEN,1
E02,CDP,1
E02,CDP-ANCIEN,1
E02,IDENTIFICATION,1
E02,ALIMENTATION,1
E02,ECLAIRAGE,1
E02,R1,1
E02,REP,1
E02,SP,1
E02,SP-ANCIEN,1
E02,TEMP250,1
E02,SEL,1
E02,V,1
E02,R,1
E07,LOGEMENTS RDC,4
E07,LOGEMENTS 2E,4
E07,LOGEMENTS 3E,4
E07,PB 3E,4
E07,PA 2E,4
E07,PA RDC,4
E07,CE1,3
E07,CE2,3
E07,CE3,3
E07,PE-ANCIEN,2
E07,PS-ANCIEN,2
E07,PS1,2
E07,MATS,2
E07,BJ,1
E07,CTRL,1
E07,HQ,1
E07,C,1
E07,COLONNE1,1
E07,COLONNE2,1
E07,COLONNE3,1
E07,COLONNE4,1
E07,PS1-ANCIEN,1
E07,PRINCIPAL,1
E07,PE,1
E07,PS,1
E07,TRANSFERT,1
E07,G,1
E07,HQ-ANCIEN,1
E07,MIN,1
E07,E,1
E07,S,1
E07,CDP,1
E07,CDP-ANCIEN,1
E07,IDENTIFICATION,1
E07,ALIMENTATION,1
E07,ECLAIRAGE,1
E07,R1,1
E07,REP,1
E07,SP,1
E07,SP-ANCIEN,1
E07,TEMP-250,1
E07,SEL,1
E07,V,1
E07,R,1
E10,LOGEMENTS RDC,12
E10,LOGEMENTS ETAGE,12
E10,ETAGE,12
E10,RDC,12
E10,CE1,4
E10,CE2,4
E10,CE3,4
E10,PS,2
E10,PE,2
E10,MATS,2
E10,CTRL,1
E10,HQ,1
E10,C,1
E10,COL1,1
E10,COL2,1
E10,COL3,1
E10,COL4,1
E10,COL5,1
E10,COL6,1
E10,CE-COMMUN,1
E10,PRINCIPAL,1
E10,TRANSFERT,1
E10,G,1
E10,HQ-ANCIEN,1
E10,MIN,1
E10,S,1
E10,E,1
E10,PS-ANCIEN,1
E10,PE-ANCIEN,1
E10,CDP,1
E10,CDP-ANCIEN,1
E10,IDENTIFICATION,1
E10,ALIMENTATION,1
E10,ECLAIRAGE,1
E10,R1,1
E10,REP,1
E10,SP,1
E10,SP-ANCIEN,1
E10,TEMP250,1
E10,SEL,1
E10,V,1
E10,R,1
E13,LOGEMENTS RDC,12
E13,LOGEMENTS ETAGE,12
E13,ETAGE,12
E13,RDC,12
E13,CE1,4
E13,CE2,4
E13,CE3,4
E13,PS,2
E13,PE,2
E13,MATS,2
E13,CTRL,1
E13,HQ,1
E13,C,1
E13,COL1,1
E13,COL2,1
E13,COL3,1
E13,COL4,1
E13,COL5,1
E13,COL6,1
E13,CE-COMMUN,1
E13,PRINCIPAL,1
E13,TRANSFERT,1
E13,G,1
E13,HQ-ANCIEN,1
E13,MIN,1
E13,S,1
E13,E,1
E13,PS-ANCIEN,1
E13,PE-ANCIEN,1
E13,CDP,1
E13,CDP-ANCIEN,1
E13,IDENTIFICATION,1
E13,ALIMENTATION,1
E13,ECLAIRAGE,1
E13,R1,1
E13,REP,1
E13,SP,1
E13,SP-ANCIEN,1
E13,TEMP250,1
E13,SEL,1
E13,V,1
E13,R,1
