feuille,discipline,lot,batiment,reperes,familles,res,page
DSI01,INCENDIE,LOT A,145 ST-GEORGES,122,8,122,1
DSI02,INCENDIE,LOT A,145 ST-GEORGES,62,9,62,8
DSI03,INCENDIE,LOT B,155 MERCIER,94,8,94,12
DSI04,INCENDIE,LOT B,155 MERCIER,56,9,56,18
DSI05,INCENDIE,LOT C,290 MONTCALM,122,8,122,22
DSI06,INCENDIE,LOT C,290 MONTCALM,49,9,49,29
DSI07,INCENDIE,LOT D,291 CHAUSSÉ,121,8,121,33
DSI08,INCENDIE,LOT D,291 CHAUSSÉ,49,9,49,40
E01,ELECTRICITE,LOT A,145 SAINT-GEORGES,80,4,80,44
E02,ELECTRICITE,LOT A,145 SAINT-GEORGES,52,27,52,46
E03,ELECTRICITE,LOT A,145 SAINT-GEORGES,,,,50
E04,ELECTRICITE,LOT A,145 SAINT-GEORGES,,,,52
E05,ELECTRICITE,LOT A,145 SAINT-GEORGES,,,,54
E06,ELECTRICITE,LOT B,155 MERCIER,51,5,51,56
E07,ELECTRICITE,LOT B,155 MERCIER,53,26,53,58
E08,ELECTRICITE,LOT B,155 MERCIER,,,,62
E09,ELECTRICITE,LOT C,290 MONTCALM,103,6,103,64
E10,ELECTRICITE,LOT C,290 MONTCALM,53,26,53,66
E11,ELECTRICITE,LOT C,290 MONTCALM,172,20,64,70
E12,ELECTRICITE,LOT D,291 CHAUSSÉ,110,6,110,72
E13,ELECTRICITE,LOT D,291 CHAUSSÉ,53,26,53,74
E14,ELECTRICITE,,,172,20,64,78
EU01,URGENCE,LOT A,145 SAINT-GEORGES,31,4,31,80
EU02,URGENCE,LOT B,155 MERCIER,28,5,4,82
EU03,URGENCE,LOT C,290 MONTCALM,32,6,32,84
EU04,URGENCE,LOT D,291 CHAUSSÉ,30,6,30,86
