spec (diametre nb_cond calibre),occurrences,len_px_total
1/2 3c12,160,2500732.5
3/4 3c12,118,1731768.9
3/4 3c10,104,1314676.9
3/4 7c12,98,394953.2
1 13c12,75,210812.6
3/4 9c12,74,208056.5
1/2 5c12,65,353953.6
1/2 3c10,55,548059.9
1''1/4 25c12,52,165343.2
1 15c12,50,87178.4
3/4 5c12,46,226925.5
1''1/4 17c12,45,110623.8
3/4 4c10,40,250149.1
1/2 4c12,37,302528.6
1''1/4 19c12,37,143086.5
1/2 4c14,34,396809.6
1/2 4c10,28,225585.7
1''1/4 21c12,27,74044.1
1''1/4 23c12,27,51781.1
1 7c10,24,163278.7
2 33c12,22,56083.1
2 42c12,22,86002.3
1 12c12,22,69861.4
2 31c12,21,44200.4
3/4 5c10,20,99333.2
1 11c12,19,44945.5
2 27c12,17,36382.3
3/4 4c12,17,159809.1
3/4 3c8,16,61477.9
2 37c12,16,28738.3
1 4c6,16,57117.4
1''1/4 13c10,16,74388.2
1''1/4 4c3,15,52676.7
2 35c12,12,43280.4
1 3c6,12,85501.8
1 3c8,11,55889.1
2 31c10,11,39497.3
3/4 6c12,10,25750.1
2 27c10,10,31083.9
2 4c3,9,34502.2
2 39c12,9,15125.6
1''1/4 3c4,8,27395.8
1/2 6c12,8,57238.6
1''1/4 4c4,8,38702.0
1''1/4 22c12,8,21420.0
1''1/4 15c10,7,14286.1
1''1/4 9c10,7,10246.0
1''1/4 11c10,7,14264.4
1''1/4 16c12,6,12484.8
2 25c10,6,41320.4
1 10c12,5,11594.5
2 3c1,5,9802.2
1 8c10,4,3867.1
3/4 4c8,4,8527.9
2 29c12,4,19041.4
2 29c10,4,8891.8
3/4 3c6,4,6538.0
2 21c10,4,14452.0
1''1/4 6c6,4,200559.5
4 4c3,3,18195.4
1''1/4 10c10,3,7132.4
1 4c8,3,36223.5
2 41c12,3,3326.3
2 4c4,3,8293.0
3/4 8c12,3,2906.1
2 22c10,3,4744.3
1''1/4 4c6,3,8664.6
2 23c10,3,8536.0
2 19c10,3,9324.0
1''1/4 12c10,3,8887.8
3/1 2c3,3,122966.4
2 4c2,3,2964.0
1 5c10,3,6937.0
1 6c10,2,964.0
2 4c1,2,2036.7
1''1/4 7c8,2,7418.0
3 3c30,2,1835.0
21/2 3c25,2,6719.0
2 26c12,2,2528.0
2 32c12,1,637.0
13/1 2c1,1,1824.0
1''1/4 18c12,1,3567.0
1''1/4 4c8,1,961.0
1 5c8,1,2625.0
2 28c10,1,2076.0
3/1 6c3,1,633.0
3 4c35,1,489.5
2 30c12,1,4622.0
2 3c4,1,1324.0
1 3c10,1,5225.0
2 36c12,1,6438.0
1 7c14,1,2756.0
1''1/4 3c6,1,4050.0
3 3c35,1,1404.0
4 3c50,1,746.0
4/1 2c3,1,45736.2
4/1 2c2,1,2327.2
2 30c10,1,2413.0
