item_id,item_type,key,name,description,marks_total,n_projects,labels
ENS74EB26E819E18BF81,A,4PE prise 15A 120v,prise duplex 15A 120V,prise duplex 15A 120V,1572,10,prise duplex 15A 120V(1572)
ENS16390E3ECF14C14B0,A,19PE,tel/data,tel/data,765,19,tel/data(765)
ENS9074DBC3FD84B7149,A,4PE prise CR15  IG,prise duplex 15A 120V,prise duplex 15A 120V,556,10,prise duplex 15A 120V(543) | prise duplex 15A 120V 1(13)
ENSE03A359013913CDE1,A,4PE prise CR20 120V,prise duplex 15/20A 120V,prise duplex 15/20A 120V,261,11,prise duplex 15/20A 120V(261)
LQE008445,P,IBE52171K,BOITE CARRE 2-1/8PO KO 1/2-3/4PO (AI),BOITE CARRE 2-1/8PO KO 1/2-3/4PO (AI),144,3,BOITE CARRE 2-1/8PO KO 1/2-3/4PO (AI)(144)
ENS904B2389107100B11,A,4PE prise 15A 120v,prise duplex 15A 120V GFI, prise duplex 15A 120V GFI,135,13,prise duplex 15A 120V GFI(135)
LQE004735,P,HOFASE884,BOITE D 8X8X4PO CEMA1,BOITE D 8X8X4PO CEMA1,104,8,BOITE D 8X8X4PO CEMA1(104)
LQE008444,P,HOFASE12124,BOITE D 12X12X4PO CEMA1,BOITE D 12X12X4PO CEMA1,80,7,BOITE D 12X12X4PO CEMA1(80)
ENSE9AC3454F2101550C,A,4PE int. 15A 347V,interrupteur  15A 347V,interrupteur  15A 347V,48,3,interrupteur  15A 347V(48)
ENS9CA9981C195E71150,A,4PE int. 15A 120V,interrupteur  15A 120V,interrupteur  15A 120V,27,6,interrupteur  15A 120V(27)
LQE011995,P,IBE72151K,BOITE CARRE 1-1/2PO KO 1/2-3/4PO,BOITE CARRE 1-1/2PO KO 1/2-3/4PO,26,1,BOITE CARRE 1-1/2PO KO 1/2-3/4PO(26)
LQE010549,P,HOFASE24246,BOITE D 24X24X6PO CEMA1,BOITE D 24X24X6PO CEMA1,17,1,BOITE D 24X24X6PO CEMA1(17)
LQE004733,P,HOFASE664,BOITE D 6X6X4PO CEMA1,BOITE D 6X6X4PO CEMA1,11,1,BOITE D 6X6X4PO CEMA1(11)
ENS70AB1935194109940,A,4PE int. 3W 15A 347V,interrupteur  3 way 15A 347V,interrupteur  3 way 15A 347V,10,3,interrupteur  3 way 15A 347V(6) | interrupteur  3 way 15A 347V 1(4)
ENS8A1385CA9112E9210,A,4PE int. 3W 15A 120V,interrupteur  3 way 15A 120V,interrupteur  3 way 15A 120V,4,1,interrupteur  3 way 15A 120V(4)
LQE011273,P,HOFASE12126,BOITE D 12X12X6PO CEMA1,BOITE D 12X12X6PO CEMA1,3,1,BOITE D 12X12X6PO CEMA1(3)
ENS0A68F20F115FB1070,A,4PE int. 4W 15A 347V,interrupteur  4 way 15A 347V,interrupteur  4 way 15A 347V,2,1,interrupteur  4 way 15A 347V(2)
LQE005029,P,HUBHBL2810,RECEPT 30A 4P5F 3PH 120/208V ENCASTRE NOIR,RECEPT 30A 4P5F 3PH 120/208V ENCASTRE NOIR,2,1,RECEPT 30A 4P5F 3PH 120/208V ENCASTRE NOIR(2)
ENS0F6D73D2173137FF0,A,19PE0.5 #12,conduit 1/2 03c12,conduit 1/2 03c12,0,0,
ENS72A033C39816D16C0,A,19PE0.5 #12,conduit 1/2 04c12,conduit 1/2 04c12,0,0,
ENS4DDD71F9D514C715F,A,19PE0.5 #12,conduit 1/2 05c12,conduit 1/2 05c12,0,0,
ENS6730DA3DBD1321551,A,19PE0.75 #10,conduit 3/4 03c10,conduit 3/4 03c10,0,0,
ENSAFF5D05713B179C81,A,19PE0.75 #12,conduit 3/4 07c12,conduit 3/4 07c12,0,0,
ENS6E51D68F135100711,A,19PE0.5,COND ALARME 3/16 FT4,COND ALARME 3/16 FT4,0,0,
ENSA25D66E8153101291,A,19PE0.5 #10,conduit 1/2 03c10,conduit 1/2 03c10,0,0,
ENS05D76B4F160134D61,A,19PE0.75 #10,conduit 3/4 05c10,conduit 3/4 05c10,0,0,
ENS9FEEA3C3B011C1660,A,19PE1 #10,conduit 1 08c10,conduit 1 08c10,0,0,
ENS494DF2E117CC3DF1A,A,19PE1 #10,conduit 1 06c10,conduit 1 06c10,0,0,
ENSDDB0EBAFB4AE12C0D,A,19PE1 #10,conduit 1 07c10,conduit 1 07c10,0,0,
ENS2BE4B1181801EE197,A,19PE1 #12,conduit 1 13c12,conduit 1 13c12,0,0,
ENSFA08B20A120A58B0D,A,19PE1 #12,conduit 1 10c12,conduit 1 10c12,0,0,
ENS89E4264114A9B1051,A,19PE0.75 #08,conduit 3/4 03c08,conduit 3/4 03c08,0,0,
ENS5B4F85B31101A51A8,A,19PE0.75 #12,conduit 3/4 05c12,conduit 3/4 05c12,0,0,
ENS68FBD2DD139190131,A,19PE0.75 #12,conduit 3/4 09c12,conduit 3/4 09c12,0,0,
ENSCE207558DF9514513,A,19PE1.25 #12,conduit 1''1/4 19c12,conduit 1''1/4 19c12,0,0,
ENS1ED9F0B99FEBF209B,A,19PE2 #12,conduit 2 31c12,conduit 2 31c12,0,0,
ENS588565C1185126AE0,A,19PE1.25 #12,conduit 1''1/4 17c12,conduit 1''1/4 17c12,0,0,
LQE010744,P,CAB3/0BARECU,3/0AWG 19 BRINS CUIVRE NU MOU,3/0AWG 19 BRINS CUIVRE NU MOU,0,0,
ENS8B6D59671591A6F61,A,19PE0.5 #10,conduit 1/2 04c10,conduit 1/2 04c10,0,0,
ENS4087D7CC105E611F1,A,19PE1 #08,conduit 1 03c08,conduit 1 03c08,0,0,
ENSC947E397BBFDF8035,A,19PE1.25 #04,conduit 1''1/4 03c04,conduit 1''1/4 03c04,0,0,
ENS9E93142F911561EE1,A,19PE2 #12,conduit 2 33c12,conduit 2 33c12,0,0,
ENS40793E2C16D120241,A,19PE1.25 #12,conduit 1''1/4 16c12,conduit 1''1/4 16c12,0,0,
ENS2106BF6314A661491,A,19PE1.25 #12,conduit 1''1/4 21c12,conduit 1''1/4 21c12,0,0,
ENSB21032F0AA14CD512,A,19PE2 #12,conduit 2 37c12,conduit 2 37c12,0,0,
ENSACCF77E917D10EFA1,A,19PE2 # 000,conduit 2 4c3/0,conduit 2 4c3/0,0,0,
ENSE39FF23CF813D1550,A,19PE vide  0.5,conduit vide 1/2,conduit vide 1/2,0,0,
ENSA0075C58152169DA0,A,19PE vide  1,conduit vide 1,conduit vide 1,0,0,
ENS67780A0316CC8EC06,A,19PE vide  2,conduit vide 2,conduit vide 2,0,0,
ENSC44FBFD5B2C4EB148,A,19PE2 #12,conduit 2 39c12,conduit 2 39c12,0,0,
ENS85FC0360A011AC217,A,19PE1.25 #12,conduit 1''1/4 23c12,conduit 1''1/4 23c12,0,0,
ENSD0FB00E612897E119,A,19PE1 #12,conduit 1 15c12,conduit 1 15c12,0,0,
ENSC410F2AA176D25010,A,19PE0.5 #14,conduit 1/2 04c14,conduit 1/2 04c14,0,0,
ENS8C0DB41794E311014,A,19PE3 PVC,conduit 3 pvc vide,conduit 3 pvc vide,0,0,
LQE010940,P,SCEPVC2,COND CPV 2PO 10PI (AI),COND CPV 2PO 10PI (AI),0,0,
