label,marks_total,n_projects,top_ee_ensemble,ee_key
PRISE,32762,211,,
INT,6090,152,,
Compteur 1,4986,104,,
HAUT PARLEUR,4889,38,,
TH,4595,52,,
FIXT PL LOG,4560,2,,
TEL,4555,72,,
SORTIE TEL,3906,94,,
FIXT TYPE A,3658,83,,
LOG INT,2921,1,,
ECL,2726,2,,
KS,2691,11,,
GFI,2655,69,,
Prise 15A,2463,16,,
LO PRISE,2167,1,,
ENSEIGNE SORTIE,2151,100,,
FIXT TYPE B,2123,61,,
prise duplex 15A 120V,2115,19,ENS74EB26E819E18BF81,4PE prise 15A 120v
THERMOSTAT,2073,17,,
FIXTURE TYPE E1,2060,3,,
FIXT TYPE L1,2002,37,,
TETE DOUBLE,1855,106,,
EXIT,1736,100,,
RACCORD DIRECT,1722,65,,
KLAXON,1694,68,,
DETECTEUR,1514,29,,
FIXT TYPE D,1438,42,,
DETECTEUR FUMER,1404,36,,
FIXT TYPE C,1402,56,,
STATION MANUEL,1398,97,,
FIXT TYPE E,1395,40,,
SERPENTIN,1393,105,,
GRADATEUR,1338,74,,
PRISE 15/20,1315,33,,
Compteur 2,1232,45,,
52151,1224,18,,
INT 1 VOIE,1151,31,,
EXISTANT HAUT PARLEUR,1129,1,,
B1000W,1123,13,,
Compteur 7,1118,8,,
Fixt to Remove,1107,7,,
EXISTANT DETECTEUR,1107,1,,
Switch,1092,8,,
DECT AF1,1020,2,,
DETECTEUR AF1,1018,2,,
PRISE 15/20A,994,48,,
HOTTE,988,15,,
FIXT TYPE L6,970,21,,
L PRISE,957,3,,
1000W,953,22,,
PRISE 15A 125V,951,10,,
1250W,930,17,,
STROB,927,31,,
FIXT TYPE A1,918,19,,
DETECTEUR DF1,918,7,,
FIXT TYPE E1,916,21,,
FIXT TYPE MURAL,916,4,,
HP,910,35,,
prise,904,11,,
FIXT TYPE L-01,904,1,,
CAMERA,899,60,,
PRISE GFI,897,45,,
RELAIS,885,43,,
STRIP,877,4,,
tel/data,867,20,ENS16390E3ECF14C14B0,19PE
int enl,865,1,,
FIXT TYPE 84B,862,1,,
B300W,858,6,,
PRISE 15A,856,12,,
Compteur 6,850,11,,
AF1,837,1,,
CONTROL VENT,836,2,,
FIXTURE TYPE E2,828,4,,
FIXT TYPE L3,826,28,,
TV,809,35,,
FIXT TYPE F,805,41,,
DETECTEUR MOUVEMENT,791,29,,
MA,790,11,,
AF1-5,774,1,,
15,753,11,,
COND,745,7,,
TYPE E1,731,3,,
DETECTEUR GAINE,727,23,,
Potlight Apt.,726,1,,
HORN,721,40,,
4X4,705,26,,
300W,687,5,,
2X4 ENL,686,3,,
P,680,9,,
FIXT TYPE L2,665,26,,
INT 3 VOIE,660,25,,
PRISE SECHEUSE,659,18,,
PRISE POELE,647,18,,
MARCHE,645,1,,
ECHANGEUR,613,3,,
FIXT ENL,597,5,,
Type L4.1,591,1,,
LO PRISE CONTROLÉ,588,1,,
1500W,587,15,,
8X8,574,42,,
ENL FIXT 1X4,570,2,,
ENCASTRE,565,22,,
FIXT TYPE G,562,35,,
LAMPE TEMOIN,559,6,,
L INT,554,2,,
A,547,12,,
A PRISE,545,7,,
ECH,541,5,,
PRISE 5262SGW,541,1,,
FIXT RAIL,535,2,,
fixt enl,534,2,,
PIEZO,528,3,,
EVAP,528,4,,
PIAZO P,522,2,,
FIXT TYPE L4,515,22,,
FIXT TYPE D1A,506,3,,
TETE SIMPLE,502,58,,
500W,498,21,,
B1250W,495,8,,
FIXT TYPE L8,490,16,,
DECT DF1,488,2,,
SERV ENCASTRE,482,2,,
FIXTURE LT-F-B,474,2,,
FIXT TYPE H,473,31,,
DEMO,472,2,,
PRISE15A,465,1,,
FIXT TYPE B1,464,19,,
PRISE WP,464,12,,
LV,462,3,,
TYPE B,460,4,,
HP MURAL,457,2,,
AD FIXT A,456,2,,
JC PRISE,454,2,,
Compteur 4,452,21,,
30A NF,449,50,,
Prise to remove,438,3,,
KLAXON KS,438,2,,
FIXT TYPE L10,436,14,,
LOG HP S,432,1,,
PRISE ENL,430,6,,
STIP,426,1,,
LECTEUR CARTE,412,41,,
FIXT TYPE D1,410,14,,
PLINTHE B1000W,410,1,,
FIXT TYPE J2,409,5,,
FIXT TYPE E2,405,24,,
FIXT TYPE GAR,402,1,,
FIXT A,396,6,,
PTAC,394,2,,
FIXT TYPE L5,387,24,,
PRISE SERV,387,4,,
Compteur 3,386,27,,
DM,385,15,,
ET PRISE,382,1,,
MONUMENT PLANCHER,381,59,,
AF5 DECT,380,2,,
POELE,374,5,,
=TH,374,2,,
FIXT TYPE C1,372,17,,
Compteur 8,370,8,,
FIXT TYPE A2,365,12,,
52171,365,12,,
RACCORD PARTITION,363,8,,
Fixt à enlever,363,1,,
REV FIXT B,362,1,,
N PRISE 15A,360,1,,
PS,358,5,,
ADD1 AF-5,355,1,,
COMPOSANTE ENL,354,1,,
SECHEUSE,348,2,,
embassse,347,1,,
KLAXON STROB,346,25,,
ADD1 KS,344,1,,
FIXT TYPE D2,339,11,,
RAI,338,1,,
JC FIXTURE TYPE L1-3,336,2,,
LO PRISE GFI,334,1,,
1000w,324,2,,
FIXT RAIL L1,324,1,,
DF1,315,3,,
POT ENL,311,4,,
FA,310,2,,
FIXT TYPE 1X4 ENL,310,2,,
FIXT TYPE 1,307,5,,
fixt type pd1,304,1,,
FIXT TYPE L16,303,5,,
FIXT TYPE 90,302,1,,
FIXT TYPE AL3,302,1,,
FIXT TYPE RAIL,301,1,,
FIXT TYPE L1A,299,7,,
FIXT TYPE D4,298,8,,
Type A,296,9,,
WIFI,296,24,,
MISE A LA TERRE,296,4,,
ENL 1X4,293,2,,
ENL ENCASTRE,293,2,,
REV FIXT MURAL,292,1,,
FIXT TYPE L7,291,17,,
FIXT TYPE T1,289,1,,
DECT MOUV,287,13,,
FIXT TYPE E4,286,4,,
LOG DECT,286,1,,
C1 1000W,285,3,,
FIXT TYPE R1,283,8,,
286,275,1,,
SERV PRISE,275,3,,
PLINTHE B300W,275,1,,
RA,274,25,,
FIXT TYPE L1B,273,2,,
AD FIXT B,270,2,,
Thermostat,266,5,,
prise 15a,265,1,,
prise duplex 15/20A 120V,261,11,ENSE03A359013913CDE1,4PE prise CR20 120V
FIXT F1 ENL,255,1,,
750W,254,16,,
klaxon,254,5,,
Plinthe 1000W 240V,251,1,,
FIXT PASSAGE,251,1,,
MIA,249,8,,
30A NF WP,249,25,,
FIXT TYPE J,245,19,,
Compteur 5BOITE FIRE PROOF,245,1,,
ENL PRISE,245,4,,
SERV FIXT STRIP STA,244,2,,
