line_name,occurrences,n_projects,len_px_total
Distance 1,360,330,2250906.5
Distance 2,292,269,1755944.7
Distance 3,230,213,1265929.0
Distance 4,189,178,1157698.8
Distance 5,153,145,813265.4
COND ALARME 3/16 FT4,130,78,1718034.8
Distance 6,126,121,567718.3
conduit 1/2 03c12,118,59,1987381.8
Distance 7,106,103,454410.3
3/12,101,55,1917925.8
Distance 8,99,88,463269.7
Distance 9,86,79,652381.0
conduit 3/4 03c12,83,51,1489080.1
conduit 3/4 03c10,82,47,1139546.3
conduit 3/4 07c12,79,64,342880.5
Distance 10,68,62,671144.9
conduit 1 13c12,61,53,177655.7
Distance 11,58,54,603126.8
conduit 3/4 09c12,55,43,171225.8
conduit 1/2 05c12,54,35,310986.7
conduit 1/2 03c10,49,37,501902.3
conduit vide 1,48,40,418829.2
Distance 15,48,34,315330.2
3/10,47,35,420047.5
Distance 12,46,45,351732.5
conduit 1 15c12,44,41,78197.7
conduit 1''1/4 25c12,43,39,144715.0
Distance 14,42,36,353453.7
Distance 13,41,39,126913.6
conduit 3/4 04c10,40,30,250149.1
conduit 3/4 05c12,39,32,204582.7
conduit 1''1/4 17c12,38,35,87797.8
5/12,35,25,144295.2
ECL 3/12,35,23,1034594.3
conduit 1/2 04c14,34,21,396809.6
conduit 1''1/4 19c12,33,29,133829.1
Distance 16,33,33,144202.6
conduit vide 3/4,33,26,498924.4
13/12,32,24,112431.3
COND ALARME 3/16 FT4 1,31,18,329613.2
Distance 17,31,30,301568.9
Distance 93,31,5,751417.0
conduit vide 2,30,30,163121.9
9/12,30,22,72404.3
7/12,30,22,90320.2
conduit 3/4 03c12 1,30,12,199097.1
conduit 1/2 04c12,28,20,219807.9
Distance 18,27,27,197977.3
Distance 20,27,22,267047.5
conduit 1/2 03c12 1,26,18,313256.7
conduit 1''1/4 23c12,26,25,50890.1
Distance 19,26,26,119274.9
conduit 1/2 04c10,24,21,138344.3
conduit 1''1/4 21c12,24,21,69549.0
COND 1po CAMERA,24,4,116637.1
4/10,24,14,189659.9
COND ALARME 3/18 FT4,23,15,278721.7
conduit 1 07c10,22,20,157248.7
Distance 21,22,22,130144.5
Distance 22,21,21,64337.3
conduit 1 12c12,21,16,65211.4
conduit 2 31c12,20,19,43695.4
conduit 2 42c12,20,19,77894.3
conduit 3/4 05c10,19,15,99071.2
conduit 3/4 03c10 1,19,14,146837.6
conduit 2 33c12,19,18,41229.0
conduit 1 11c12,19,17,44945.5
Distance 55,19,10,87515.2
11/12,19,15,38340.2
19/12,19,13,38660.6
Distance 23,18,18,142089.8
FEEDER PANN,18,2,618700.8
COAX,18,2,719664.6
Distance 24,17,17,150621.6
conduit 3/4 04c12,17,15,159809.1
COND 3/12,17,7,508573.8
4/12,17,12,124456.5
conduit 1 04c06,16,16,57117.4
Distance 25,16,16,55491.6
15/12,16,11,47547.9
FAS3/16,16,6,137615.3
conduit 1''1/4 04c03,15,15,52676.7
Distance 26,15,15,206892.5
3/4 TEL,15,10,105301.0
Distance 52,15,10,67661.0
CAT5E,15,3,152479.6
conduit 3/4 03c08,14,14,55398.8
2/10,14,9,87384.9
Distance 27,14,14,126664.8
Distance 28,14,14,136674.1
Distance 36,14,13,261998.5
conduit 1''1/4 13c10,14,11,71956.2
COND PRISE,14,1,196594.7
conduit 2 37c12,13,13,23314.6
Distance 29,13,13,121719.8
Distance 34,13,13,41211.5
Distance 31,13,13,67372.0
Distance 32,13,13,111605.9
Distance 33,13,13,82067.3
Distance 35,13,13,80354.3
Distance 30,13,13,82749.8
Distance 38,13,13,40472.6
Distance 39,13,13,38902.0
17/12,13,11,21524.7
