file,sha256,s_number,description,created,modified,n_plans,n_counters,n_marks,n_labels_used,n_lines,line_len_px,n_areas,n_perimeters,n_drops,n_ee_groups,n_ee_used
EQUIJUSTICE RIVE-SUD (16-Août-2021)\EQUIJUSTICE RIVE-SUD (16-Août-2021) - Copie.qpl,a3af9afbda36b315,,EQUIJUSTICE RIVE-SUD,2021/8/16,2021/8/27,30,25,430,24,2,9372.6,0,0,0,3,3
FRANCIS DAN (2-Juillet-2025)\FRANCIS DAN (2-Juillet-2025) - Copie.qpl,9bb7c24ec79c9c5b,,,2025/7/2,2025/7/2,0,0,0,0,0,0.0,0,0,0,0,0
Projet Soumission 2025\S-1305 - Litostroj Hydro Brossard\S-1305 Litostroj Hydro Brossard (7-Janvier-2025)\S-1305 Litostroj Hydro Brossard (7-Janvier-2025).qpl,c64add02ac62e994,1305,,2025/1/7,2025/1/21,11,52,494,46,0,0.0,2,53,0,0,0
Projet Soumission 2025\S-1310 - Clinique Cigogne\S-1310 Clinique la Cigogne (14-Janvier-2025)\S-1310 Clinique la Cigogne (14-Janvier-2025).qpl,db0d3c972165b364,1310,,2025/1/14,2025/1/22,12,10,132,8,0,0.0,0,0,0,0,0
Projet Soumission 2025\S-1311 - IGWM Boisbriand\S-1311 IGWM Boisbriand (15-Janvier-2025)\S-1311 IGWM Boisbriand (15-Janvier-2025).qpl,c2a69349c8edcb9c,1311,,2025/1/15,2025/1/30,8,60,1049,48,0,0.0,4,36,0,0,0
Projet Soumission 2025\S-1325 - Loft Impérial Montréal\S-1325 Loft Impérial Térasse (22-Janvier-2025)\S-1325 Loft Impérial Térasse (22-Janvier-2025).qpl,a939d36fc1a9086a,1325,,2025/1/22,2025/1/30,8,28,177,15,0,0.0,0,18,0,0,0
Projet Soumission 2025\S-1330 - Bâtiment Sanitaire Boucherville\S-1330 Bâtiment Sanitaire Boucherville (27-Janvier-2025)\S-1330 Bâtiment Sanitaire Boucherville (27-Janvier-2025).qpl,77e6719ceaec59ba,1330,,2025/1/27,2025/1/27,6,15,37,15,0,0.0,0,13,0,0,0
Projet Soumission 2025\S-1336 - Éclairage Ext 2000 McGill College\S-1336 Éclairage Extérieur 2000 McGill (29-Janvier-2025)\S-1336 Éclairage Extérieur 2000 McGill (29-Janvier-2025).qpl,cbf5e567afd610ba,1336,,2025/1/29,2025/2/20,9,12,64,8,0,0.0,1,5,0,0,0
Projet Soumission 2025\S-1341 - Koh Tao Boucherville\S-1341 Koh Tao Boucherville (31-Janvier-2025)\S-1341 Koh Tao Boucherville (31-Janvier-2025).qpl,26db7ba70e7eac12,1341,,2025/1/31,2025/2/11,11,84,657,74,0,0.0,3,46,0,0,0
Projet Soumission 2025\S-1342 - Foire Alimentaire Centre Eaton\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025)\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025).qpl,b6651383d7682e14,1342,,2025/1/31,2025/2/14,30,119,2244,82,0,0.0,13,84,0,0,0
Projet Soumission 2025\S-1353 - Matrec St-Hubert\S-1353 Matrec St-Hubert (24-Février-2025)\S-1353 Matrec St-Hubert (24-Février-2025).qpl,9b2a9002c37ac77c,1353,,2025/2/24,2025/3/17,40,49,197,34,2,1155.0,10,28,0,0,0
Projet Soumission 2025\S-1359 - Maison de répis l'intermède\S-1359 Maison de Répit l'intermède (17-Février-2025)\S-1359 Maison de Répit l'intermède (17-Février-2025).qpl,5b0c184006fa9e2e,1359,,2025/2/17,2025/2/24,17,117,594,64,0,0.0,5,64,0,0,0
Projet Soumission 2025\S-1364 - Énergir Du Havre Abris a remblais\S-1364 Énergir Du Havre Abris a remblais (20-Février-2025)\S-1364 Énergir Du Havre Abris a remblais (20-Février-2025).qpl,65fa2e0f21ec7e9e,1364,,2025/2/20,2025/2/20,5,2,7,2,0,0.0,0,6,0,0,0
Projet Soumission 2025\S-1371 - Desjardins CDS Carfour\S-1371 Desjardins CDS Carfour (27-Février-2025)\S-1371 Desjardins CDS Carfour (27-Février-2025).qpl,b1e4168fe983dd86,1371,,2025/2/27,2025/3/14,11,69,1028,62,0,0.0,3,56,0,0,0
Projet Soumission 2025\S-1373 - Allied 87 Prince\S-1373 Allied 87 Prince (6-Mars-2025)\S-1373 Allied 87 Prince (6-Mars-2025).qpl,40fa9f96f5eb213a,1373,,2025/3/6,2025/3/17,14,21,1300,19,0,0.0,2,3,0,0,0
Projet Soumission 2025\S-1375 - Tower Research Capital 2001RB\S-1375 Tower Research Capital 2001 RB (7-Mars-2025)\S-1375 Tower Research Capital 2001 RB (7-Mars-2025).qpl,b2f107fe57442be5,1375,,2025/3/7,2025/3/11,11,31,177,30,0,0.0,0,26,0,0,0
Projet Soumission 2025\S-1381 - Salle de Bain Bistro Modavie\S-1381 Salle de bain Bistro Modavie (13-Mars-2025)\S-1381 Salle de bain Bistro Modavie (13-Mars-2025).qpl,6ef43c4d86988c3c,1381,,2025/3/13,2025/3/17,9,5,15,5,0,0.0,4,2,0,0,0
Projet Soumission 2025\S-1384 - Complexe Multisport St-Bruno\S-1384 Complexe Multisport St-Bruno (17-Mars-2025)\S-1384 Complexe Multisport St-Bruno (17-Mars-2025).qpl,f026d67512855f25,1384,,2025/3/17,2025/3/18,30,98,1610,72,0,0.0,0,0,0,0,0
Projet Soumission 2025\S-1387 - L'Oréal Budget SIP\S-1387 L'Oréal Budget SIP (18-Mars-2025)\S-1387 L'Oréal Budget SIP (18-Mars-2025).qpl,ab4d5a499553acd6,1387,,2025/3/18,2025/4/11,12,84,400,57,0,0.0,0,70,57,0,0
Projet Soumission 2025\S-1390 - BDC Boucherville\S-1390 BDC Boucherville (21-Mars-2025)\S-1390 BDC Boucherville (21-Mars-2025).qpl,e12f0da6592686d2,1390,,2025/3/21,2025/4/3,21,94,924,89,0,0.0,1,54,24,0,0
Projet Soumission 2025\S-1398 - BNC Beloeil\S-1398 BNC Beloeil (27-Mars-2025)\S-1398 BNC Beloeil (27-Mars-2025).qpl,a2aef6429801fc2a,1398,,2025/3/27,2025/4/2,20,83,778,79,0,0.0,1,37,11,0,0
