page_scan,page_acceo,section,objet,quantite,um,feuille_zone
1,,SOMMAIRE,"Matériel coûtant (sommaire soumission, $)",679938.50,$,non indiqué (relevé global ACCEO)
1,,SOMMAIRE,"Service coûtant (sommaire soumission, $)",551860.00,$,non indiqué (relevé global ACCEO)
1,,SOMMAIRE,"Grand total (sommaire soumission, $)",1231798.52,$,non indiqué (relevé global ACCEO)
1,,SOMMAIRE,"Heures chargées (annotation manuscrite « 82,00 $ »)",6730,h,non indiqué (relevé global ACCEO)
1,,SOMMAIRE,Heures du relevé de matériel,6725.082,h,non indiqué (relevé global ACCEO)
1,,SOMMAIRE,Notes manuscrites : TEMPORAIRE = / TELEPHONIE = / CONTROL ECLAIRAGE = / ECLAIRAGE = / HORLOGE = / INTERCOM = (aucune valeur inscrite),,,non indiqué (relevé global ACCEO)
2,1,VIDEO SURVEILLANCE,PRIX DE LOT VIDEOSURVEI[LLANCE],1,U,non indiqué (relevé global ACCEO)
2,1,VIDEO SURVEILLANCE,CAMERA,12,U,non indiqué (relevé global ACCEO)
2,1,VIDEO SURVEILLANCE,CAMERA DOME,14,U,non indiqué (relevé global ACCEO)
2,1,VIDEO SURVEILLANCE,GARDE CAMERA,2,U,non indiqué (relevé global ACCEO)
2,1,VIDEO SURVEILLANCE,conduit vide 3/4 (145s),1450,P,non indiqué (relevé global ACCEO)
2,1,VIDEO SURVEILLANCE,BOITE CARRE 2-1/8PO KO 1…,55,U,non indiqué (relevé global ACCEO)
2,1,VIDEO SURVEILLANCE,COUV CARRE 4PO VIERGE,55,U,non indiqué (relevé global ACCEO)
2,1,DISTRIBUTION,PRIX DE LOT DISTRIBUTION,1,U,non indiqué (relevé global ACCEO)
2,1,DISTRIBUTION,PRIX DE LOT TRANSFO,1,U,non indiqué (relevé global ACCEO)
2,1,DISTRIBUTION,PRIX DE LOT CAMLOCK,1,U,non indiqué (relevé global ACCEO)
2,1,DISTRIBUTION,DÉMARREUR COMBINÉ,1,U,non indiqué (relevé global ACCEO)
2,1,DISTRIBUTION,PP1 PANN 600A 347/600V 3P…,1,U,non indiqué (relevé global ACCEO)
2,1,DISTRIBUTION,MESURAGE HQ MAIN DISJ 6…,0,U,non indiqué (relevé global ACCEO)
2,1,DISTRIBUTION,DISJ 600A 3P 25KA LSI C/A …,0,U,non indiqué (relevé global ACCEO)
2,1,DISTRIBUTION,PP1 PANN 600A 347/600V 3P… (2e ligne),1,U,non indiqué (relevé global ACCEO)
2,1,DISTRIBUTION,1X400A3P 2X200A3P 5XESP…,0,U,non indiqué (relevé global ACCEO)
2,1,DISTRIBUTION,CDP1 600A 120/208V 3PH 4F…,1,U,non indiqué (relevé global ACCEO)
2,1,DISTRIBUTION,2X40A2P 4XESPACE,0,U,non indiqué (relevé global ACCEO)
2,1,DISTRIBUTION,PP2 400A 347/600V 3PH 4F (…,1,U,non indiqué (relevé global ACCEO)
2,1,DISTRIBUTION,2X45A3P 1X35A3P 8X2A3P…,0,U,non indiqué (relevé global ACCEO)
2,1,DISTRIBUTION,CDP2 600A 120/208V 3PH 4F…,1,U,non indiqué (relevé global ACCEO)
2,1,DISTRIBUTION,4XESPACE,0,U,non indiqué (relevé global ACCEO)
2,1,DISTRIBUTION,P1 PANN 200A 120/208V 3PH…,1,U,non indiqué (relevé global ACCEO)
2,1,DISTRIBUTION,1X30A3P 1X50A2P 1X15A2P…,0,U,non indiqué (relevé global ACCEO)
2,1,DISTRIBUTION,P2 PANN 200A 120/208V 3PH…,1,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,46X15A1P 18X20A1P,0,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,P3 PANN 200A 120/208V 3PH…,1,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,3X25A3P 1X20A3P 6X15A3P…,0,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,PA PANN 200A 347/600V 3PH…,1,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,5X25A1P 10X20A1P 8X15A1P…,0,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,P4 PANN 200A 120/208 3PH…,1,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,30X15A1P 8X20A1P,0,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,P5 PANN 200A 120/208V 3PH…,1,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,1X25A3P 5X20A3P 6X15A3P…,0,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,P6 PANN 200A 120/208V 3PH…,1,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,1X30A3P 2X20A3P 4X15A3P…,0,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,PB PANN 200A 347/600V 3PH…,1,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,6X20A1P 8X15A1P,0,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,T1/T2 TRANSFO 150KVA 6…,2,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,DÉMARREUR COMBINER M…,2,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,C/A SELECTEUR ET CONTR…,0,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,BOITIER CONTROL ECLAIR[AGE],1,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,FUSIBLE SELECTEUR HOA 4…,0,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,20A 2P BOB 24V 1 BOBINE F…,0,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,1 BOBINE RELAIS AUTOMAT…,0,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,ARMOIRE POUR APPAREILS…,1,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,BARRE MISE A TERRE 1/4X…,1,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,3/0AWG 19 BRINS CUIVRE N…,50,P,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,PLYWOOD 4X8X3/4,16,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,BOOM TRUCK,1,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,PEPINE C/A TERRIERE,1,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,POTEAU 30PI,1,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,SUPP HQ 4X2PO MONO-BLC…,104,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,COUDE HQ 3X60 90D TYPE I…,8,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,COUDE HQ 4X60R 90D TYPE…,8,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,MANCHON TYPEII 3PO COLL…,34,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,MANCHON TYPEII 4PO COLL…,34,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,BOUCHON TYPEII 3PO FEM…,2,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,BOUCHON TYPEII 4PO FEM…,2,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,COND TYPEII 3PO 10PI,260,P,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,COND TYPEII 4PO 10PI,260,P,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,COND ALUM 3PO,40,P,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,COND ALUM 4PO,20,P,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,CAP ENTR 3PO ALUM FILET…,2,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,ADAPT F CPV 3PO,2,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,ADAPT F CPV 4PO,2,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,COURR CPV 4PO 2TROU AC…,10,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,COURR CPV 3PO 2TROU AC…,6,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,SUPP ISOL 9-1/2PO SERV R…,1,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,BARRE MISE A TERRE 1/4X… (2e ligne),2,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,TIGE MALT 10PI 3/4PO CUI…,3,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,PROTEGE BUTOIR 4 COND…,1,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,BOITE TIGE MALT 10X12PO,3,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,Copper Figure 6 Ground Tap,3,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,COND TME 3PO,320,P,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,COUDE TME 3PO 90D,14,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,CONN TME 3PO VIS ZINC,4,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,ACCOUPL TME 3PO VIS ZIN…,46,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,COURROIE 3PO CABLE & C…,40,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,RAIL 1-5/8X1-5/8PO GALV C…,250,P,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,EMBOUT 3PO PLAST (AI),8,U,non indiqué (relevé global ACCEO)
3,2,DISTRIBUTION,2/0AWG 19BRINS CUIVRE N…,290,P,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,500MCM 37 BRINS RW9060…,3080,P,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,2AWG 7 BRINS RW90 600V…,720,P,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,COND TME 2-1/2PO,610,P,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,COUDE TME 2-1/2PO 90D,22,U,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,CONN TME 21/2PO VIS ZINC,22,U,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,ACCOUPL TME 2-1/2PO VIS…,83,U,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,COND FLEX 2-1/2PO ALUM…,15,P,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,COND FLEX 3PO ALUM BOB…,20,P,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,CONN BX 3PO 1VIS,4,U,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,CONN BX 2-1/2PO 90D 2VIS,2,U,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,CONN BX 3PO 90D 2VIS ALU…,4,U,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,CONN BX 2-1/2PO 2VIS,2,U,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,EMBOUT 2-1/2PO PLAST (AI),10,U,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,EMBOUT 3PO PLAST (AI),14,U,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,COND TME 3PO (2e ligne),100,P,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,COUDE TME 3PO 90D (2e ligne),6,U,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,ACCOUPL RIG 2-1/2PO GALV,2,U,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,ACCOUPL RIG 3PO GALV,4,U,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,CONN TME 3PO VIS ZINC (2e ligne),8,U,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,ACCOUPL TME 3PO VIS ZIN… (2e ligne),12,U,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,COURROIE 2-1/2PO CABLE…,12,U,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,COURROIE 3PO CABLE & C… (2e ligne),20,U,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,2AWG 7 BRINS RW90 600V… (2e ligne),1075,P,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,350MCM 4C ARME ALUM PV…,200,P,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,500MCM 37 BRINS RW9060… (2e ligne),640,P,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,250MCM 37 BRINS RW9060…,4300,P,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,4AWG 7 BRINS RW90 600V…,65,P,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,1AWG 19 BRINS RW90 600V,160,P,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,4/0AWG 19 BRINS RW90 60…,160,P,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,MAMELON RIG 2-1/2X6PO,3,U,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,CONTRE ECROU 2-1/2PO,12,U,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,ACCOUPL CPV 3PO,38,U,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,COUDE CPV 3PO 90D,10,U,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,ADAPT F CPV 3PO (2e ligne),2,U,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,COND CPV 3PO 10PI,300,P,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,ADAPT M CPV 3PO,2,U,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,COND TME 1-1/2PO,30,P,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,LB 1-1/2PO FILETE ALUM,2,U,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,ACCOUPL TME 1-1/2PO VIS,5,U,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,CONN TME 11/2PO VIS ZINC,4,U,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,COUDE TME 1-1/2PO 90D,2,U,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,COURROIE 1-1/2PO CABLE…,4,U,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,ARMOIRE POUR APPAREILS… (2e ligne),1,U,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,COND TME 4PO,380,P,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,COUDE TME 4PO 90D,8,U,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,CONN TME 4PO VIS ZINC,10,U,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,ACCOUPL TME 4PO VIS ZIN…,46,U,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,COURROIE 4PO CABLE & C…,50,U,non indiqué (relevé global ACCEO)
4,3,DISTRIBUTION,conduit pvc 3/4 vide (26s),260,P,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,PRIX DE LOT ECLAIRAGE,1,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,BOOM TRUCK,1,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,BASE LAMPADAIRE,2,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,BASE BOLARD,9,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,FIXTURE TYPE A1,5,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,FIXTURE TYPE A2,16,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,FIXTURE TYPE A4,9,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,FIXTURE TYPE A5,12,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,FIXTURE TYPE B1,9,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,FIXTURE TYPE E1,168,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,FIXTURE TYPE E1A,69,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,FIXTURE TYPE E2,1,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,FIXTURE TYPE E3,72,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,FIXTURE TYPE E3A,13,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,FIXTURE TYPE E3B,12,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,FIXTURE TYPE E4,27,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,FIXTURE TYPE E5,49,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,FIXTURE TYPE E6,14,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,FIXTURE TYPE E7,3,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,FIXTURE TYPE L1,2,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,FIXTURE TYPE M1,6,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,FIXTURE TYPE M2,4,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,FIXTURE TYPE M3,2,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,FIXTURE TYPE S1,28,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,FIXTURE TYPE S2,1,U,non indiqué (relevé global ACCEO)
5,4,ECLAIRAGE,FIXTURE TYPE S3,1,U,non indiqué (relevé global ACCEO)
