page_scan,page_imprimee,section,objet,quantite,um,feuille_zone,note
1,,SOMMAIRE,Matériel coûtant,397308.56,$,non indiquée (total projet),
1,,SOMMAIRE,Service coûtant,806850.00,$,non indiquée (total projet),
1,,SOMMAIRE,Grand total,1204158.59,$,non indiquée (total projet),
1,,SOMMAIRE,Heures chargées,8150.000,h,non indiquée (total projet),
1,,SOMMAIRE,Heures du relevé de matériel,8106.286,h,non indiquée (total projet),
1,,SOMMAIRE,Balance,-43.714,h,non indiquée (total projet),
1,,SOMMAIRE,Note manuscrite: DISTRIBUTION / ECLAIRAGE / CONTROL ECLAIRAGE / CHAUFFAGE / ALARME INCENDIE / TEL-DATA / SECURITE-CAMERA / + TEMPORAIRE,,,non indiquée (total projet),"liste de sections, sans quantité"
2,6,SOMMAIRE GENERAL / CH11,Sommaire CH11 (bloc vide) Mult Bloc x14,0,U,non indiquée (total projet),coûtant 0 $ ; 0 h ; multiplicateur de bloc x14 (chambres?)
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE A1,823,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE A2,168,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE A3,30,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE A4,105,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE A5,5,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE A6,24,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE A7,20,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE A8,15,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE A9,33,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE B1,168,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE B2,198,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE B3,77,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE B4,179,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE B9 6pi,3,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE C1,72,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE C2,3,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE C3,3,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE C4,12,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE D2,7,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE D3 6pi,4,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE D4,1,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE E1,6,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE E2,9,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE D1 13pi 6po,1,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE D1 4pi 6po,2,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE D1 4PI,6,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE D1 5 pi 6po,9,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE D1 6 pi,28,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE D1 7pi 6po,2,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE D1 9 pi,2,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE D1 10pi,2,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE D1 11 pi 6po,2,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE D1 11 pi,1,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE D1 12 pi,2,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE D1 12pi 6po,1,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE D1 13pi,11,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE D1 14pi,2,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE D1 14pi 6pi,3,U,non indiquée (total projet),
2,6,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE D1 22 pi,1,U,non indiquée (total projet),
3,7,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE D1 17 pi,1,U,non indiquée (total projet),
3,7,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE D5 5PI,4,U,non indiquée (total projet),
3,7,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE D5 6 PI,1,U,non indiquée (total projet),
3,7,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE D5 10 PI,2,U,non indiquée (total projet),
3,7,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE D5 18 PI,1,U,non indiquée (total projet),
3,7,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE D5 22 PI,1,U,non indiquée (total projet),
3,7,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE D5 22 pi 6 po,1,U,non indiquée (total projet),
3,7,ECLAIRAGE / DEMANDE PRIX,FIXTURE TYPE D1 5 pi,2,U,non indiquée (total projet),
3,7,ECLAIRAGE / DEMANDE PRIX,ENSEIGNE SORTIE,29,U,non indiquée (total projet),
3,7,ECLAIRAGE / DEMANDE PRIX,alimentation éclairage,2053,U,non indiquée (total projet),
3,7,ECLAIRAGE / DEMANDE PRIX,interrupteur 15A 120V,510,U,non indiquée (total projet),
3,7,ECLAIRAGE / DEMANDE PRIX,interrupteur 3 way 15A 120V,316,U,non indiquée (total projet),
3,7,ECLAIRAGE / DEMANDE PRIX,interrupteur 4 way 15A 120V,147,U,non indiquée (total projet),
