page_scan,section,objet,quantite,um,vendant_unit,vendant,temps_unit,temps_total,feuille_zone,note
1,Wesco manuscrit (branchement HQ / Bell),COND HYDRO PRIMAIRE (montant $),30410.82,$,,,,,,128.20 h x 82 $/h = 10512.40 (main-d'oeuvre)
1,Wesco manuscrit (branchement HQ / Bell),"COND BELL/TV, SPARE (montant $)",17535.05,$,,,,,,133 h x 82 $/h = 10906.00
1,Wesco manuscrit (branchement HQ / Bell),COND HYDRO SECONDAIRE (montant $),18209.90,$,,,,,,91.43 h x 82 $/h = 7497.26
1,Wesco manuscrit (branchement HQ / Bell),"COND/CABLE, MISE A LA TERRE, TSS (montant $)",5000,$,,,,,,8 h x 82 $/h = 656.00
1,Wesco manuscrit (branchement HQ / Bell),Sous-total (montant $),71155.77,$,,,,,,
1,Wesco manuscrit (branchement HQ / Bell),Main-d'oeuvre à 82 $/h (montant $),29571.66,$,,,,,,
1,Wesco manuscrit (branchement HQ / Bell),Total (montant $),100727.43,$,,,,,,
1,Wesco manuscrit (branchement HQ / Bell),COND/ELBOW/METRE DE LA BATISSE (déduction $),-4741,$,,,,,,
1,Wesco manuscrit (branchement HQ / Bell),TOTAL encadré (montant $),95986.43,$,,,,,,
1,Wesco manuscrit (branchement HQ / Bell),"ART 13D 13E : ÉCLAIRAGE GARAGE, RUNNING MAN",INCLUS,$,,,,,,note manuscrite : inclus au prix fournisseur
2,Sommaire S-1714 PARTAGE DE RIVERA 2 TOUR 140 LOG,Matériel vendant,1361348.43,,,,,,,
2,Sommaire S-1714 PARTAGE DE RIVERA 2 TOUR 140 LOG,Service vendant,1374320.00,,,,,,,
2,Sommaire S-1714 PARTAGE DE RIVERA 2 TOUR 140 LOG,Autres frais,0.00,,,,,,,
2,Sommaire S-1714 PARTAGE DE RIVERA 2 TOUR 140 LOG,Grand total,2735668.43,,,,,,,
2,Sommaire S-1714 PARTAGE DE RIVERA 2 TOUR 140 LOG,Heures chargées,16760.000 h (annot. 82 $),,,,,,,
2,Sommaire S-1714 PARTAGE DE RIVERA 2 TOUR 140 LOG,Heures du relevé de matériel,16751.740 h,,,,,,,
2,Sommaire S-1714 PARTAGE DE RIVERA 2 TOUR 140 LOG,Balance,-8.260 h,,,,,,,
3,ARTERE PANN,1/0AWG 3C ARME ALUM 600,0,P,3.91,0.00,0.054,0.000,,
3,ARTERE PANN,1AWG 3C ARME ALUM 600V,30590,P,3.37,103123.17,0.048,1468.320,,
3,ARTERE PANN,2/0AWG 3C ARME ALUM 600,0,P,4.90,0.00,0.056,0.000,,
3,ARTERE PANN,3/0AWG 3C ARME ALUM 600,0,P,5.57,0.00,0.058,0.000,,
3,ARTERE PANN,CONN BX 1-1/2PO 1VIS,280,U,12.17,3406.59,0.180,50.400,,
3,ARTERE PANN,EMBOUT 1-1/2PO PLAST (AI,280,U,0.49,138.49,0.030,8.400,,
3,ARTERE PANN,RAIL 1-5/8X1-5/8PO GALV CH,3000,P,7.48,22435.20,0.100,300.000,,
3,ARTERE PANN,COURROIE 1-1/2PO CABLE,7500,U,2.77,20737.50,0.000,0.000,,
3,ARTERE PANN,SOMMAIRE ARTERE PANN,,,,149840.95,,1827.120,,
3,DISTRIBUTION,PRIX DE LOT DISTRIBUTION,1,U,177330.80,177330.80,0.000,0.000,,
3,DISTRIBUTION,PRIX DE LOT TRANSFO,1,U,46538.05,46538.05,0.000,0.000,,
