page_scan,section,objet,quantite,um,vendant_unit_$,temps_unit_h,feuille_zone,note
1,SOMMAIRE,Matériel vendant,397620.37,$,,,,coûtant 397620.33 + profit 0.04
1,SOMMAIRE,Service vendant,157440.00,$,,,,
1,SOMMAIRE,Autres frais vendant,0.00,$,,,,
1,SOMMAIRE,Grand total,555060.37,$,,,,
1,SOMMAIRE,Heures chargées,1920.000,h,,,,annotation manuscrite « #82.00 » (taux horaire)
1,SOMMAIRE,Heures du relevé de matériel,1916.488,h,,,,balance -3.512 h
1,SOMMAIRE,TEMPORAIRE (manuscrit),,,,,,note manuscrite sans quantité
1,SOMMAIRE,TELEPHONIE (manuscrit),,,,,,note manuscrite sans quantité
1,SOMMAIRE,TRANSPORT (manuscrit),,,,,,note manuscrite sans quantité
2,ALARME INCENDIE,PANNEAU ALARME,1,U,0.00,8.000,Général,
2,ALARME INCENDIE,STATION MANUEL,5,U,0.00,0.500,Général,
2,ALARME INCENDIE,KLAXON,2,U,0.00,0.500,Général,
2,ALARME INCENDIE,STROB,2,U,0.00,0.500,Général,
2,ALARME INCENDIE,DETECTEUR A FUMER,10,U,0.00,0.500,Général,
2,ALARME INCENDIE,DETECTEUR DE GAINE REL(ais),2,U,0.00,2.000,Général,libellé tronqué
2,ALARME INCENDIE,COND ALARME 3/16 FT4,450,P,,0.042,Général,450 (45s)
2,ALARME INCENDIE,BOITE RECT 2-1/2PO OREIL(LES),5,U,6.97,0.200,Général,
2,ALARME INCENDIE,BOITE OCTOG 1-1/2PO KO 1,10,U,7.96,0.200,Général,
2,ALARME INCENDIE,BOITE CARRE 2-1/8PO KO 1,31,U,6.18,0.250,Général,
2,ALARME INCENDIE,COUV CARRE 4PO VIERGE,25,U,1.50,0.050,Général,
2,ALARME INCENDIE,16AWG 3C ALARME ARME 3,210,P,1.30,0.028,Général,
2,ALARME INCENDIE,CONN BX 3/8PO 1VIS ALLIA(GE),42,U,0.75,0.050,Général,
2,ALARME INCENDIE,Sous-total alarme,1280.01,$,,65.780,Général,
2,DISTRIBUTION,PRIX DE LOT DISTRIBUTION,1,U,20066.95,0.000,Général,
2,DISTRIBUTION,PRIX DE LOT CAMLOCK,1,U,4673.55,0.000,Général,
2,DISTRIBUTION,PRIX DE LOT TRANSFO,1,U,3483.37,0.000,Général,
2,DISTRIBUTION,1X90A 3P 1X350A3P 3X60A3(P),0,U,0.00,0.000,Général,quantité 0 (disjoncteurs inclus au lot)
2,DISTRIBUTION,PANN 600A 347/600V 3PH 4(F),1,U,0.00,8.000,Général,
2,DISTRIBUTION,1X30A1P 7X15A1P,0,U,0.00,0.000,Général,quantité 0
2,DISTRIBUTION,PANN 400A 120/208V 3PH 4F,1,U,0.00,10.000,Général,
2,DISTRIBUTION,1X15A3P 5X15A2P 1X20A2P,0,U,0.00,0.000,Général,quantité 0
2,DISTRIBUTION,SECTIONNEUR 600A 347/600V,1,U,0.00,10.000,Général,
2,DISTRIBUTION,SECTIONNEUR 600A 347/600V,1,U,0.00,10.000,Général,2e ligne identique
2,DISTRIBUTION,SECTIONNEUR 400A 600V 3(P),1,U,0.00,7.000,Général,
2,DISTRIBUTION,TRANSFO 75KVA 600/120/208,1,U,0.00,15.000,Général,
3,DISTRIBUTION,ARMOIRE POUR APPAREILS (de mesurage),1,U,633.88,5.000,Général,
3,DISTRIBUTION,BOITIER CAMLOCK STA-205,1,U,0.00,8.000,Général,
3,DISTRIBUTION,FUS 600A 600V HRCI-J D,3,U,162.41,0.050,Général,
3,DISTRIBUTION,PLYWOOD 4X8X3/4,10,U,150.00,1.000,Général,
3,DISTRIBUTION,SUPPORT TRANSFO,1,U,350.00,4.000,Général,
