feuille,fichier,page,largeur_pt,hauteur_pt,raster_px,classement_fichier,nb_mots,jetons_frequents,titre
E001_ADD,ELectrique_Addenda ELE-002_Plans.pdf,1,3370.44,2383.92,5694x4028,addenda,285,ET×9 ÉLECTRICITÉ×9 DE×8 DES×7 POUR×7 GÉNÉRALE×6 À×5 COULEURS×4 1×4 par:×3 CES×3 LA×3 ADDENDA×3 ELE-002×3 PLAN×3 Ingénieurs×2 suite×2 Québec×2 (Québec)×2 418×2 Dossier×2 GRAPHIQUES×2 SONT×2 NE×2 DOIVENT×2,1 POUR ADDENDA ELE-002 2026-03-12 0 POUR SOUMISSIONS 2026-02-06 PLANS. ELLES NE DOIVENT PAS SERVIR À L'ESTIMATION OU À LA RÉALISATION DU PROJET. CES DOCUMENTS N
E002_ADD,ELectrique_Addenda ELE-002_Plans.pdf,2,3370.44,2383.92,5694x4028,addenda,1509,"VA×102 A×89 1×71 15×58 DE×50 ÉCLAIRAGE×19 PRISE×17 2×17 3×14 /×13 PRISES×12 -×11 DOUBLE×11 AU×10 COURANT×10 CHAUFFAGE×10 POUR×10 C×10 SALLE×9 TYPE×9 120V×9 12000×9 À×8 15A,×8 (5-15R)×8",3#3 1#6V C.35mmø 4#500kcmil 1#3V C.103mmø 2 POUR ADDENDA ELE-002 2026-03-12 600 1 POUR ADDENDA ELE-001 2026-03-02 0 POUR SOUMISSIONS 2026-02-06 600A SF Q CES DO
E003_ADD,ELectrique_Addenda ELE-002_Plans.pdf,3,3370.44,2383.92,5694x4028,addenda,369,RSP-C-347-Z1×21 ACC-C-TP×13 OSC-C-Pxx×10 CAT5e×8 -×6 4×6 3×6 2×6 1×6 DE×6 8×5 7×5 6×5 5×5 WST-C-3D×5 WAVELINX×4 CAT×4 POE×4 WST-C-1×4 dispositifs×3 SALLE×3 WC×3 WST-C-3×3 par:×3 Tous×2,0 POUR ADDENDA ELE-002 2026-03-12 CES DOCUMENTS NE DOIVENT PAS ÊTRE UTILISÉS À DES FINS DE CONSTRUCTION. ÉLECTRICITÉ Titre: Échelle: ÉLECTRICITÉ GÉNÉRALE SCHÉMA
E101_ADD,ELectrique_Addenda ELE-002_Plans.pdf,4,3370.44,2383.92,5694x4028,addenda,1199,DE×60 V×22 50×19 BÉTON×17 1×16 150×14 PAR×14 EN×13 120×13 K×13 lm×13 VA×13 DEL×12 Non×12 COMPACTÉ×11 SURFACE×11 PVC×11 DU×10 LA×10 POUR×10 E-101×10 COOPER×10 LIGHTING×10 347×10 REMBLAYAGE×9,1 3000mm 2 POUR ADDENDA ELE-002 2026-03-12 1 POUR ADDENDA ELE-001 2026-03-02 0 POUR SOUMISSIONS 2026-02-06 2 TYP CES DOCUMENTS NE DOIVENT PAS 2 ÊTRE UTILISÉS À 
E201_ADD,ELectrique_Addenda ELE-002_Plans.pdf,5,3370.44,2383.92,5694x4028,addenda,485,R1×30 D×12 L3×10 A1×10 1×9 7(200)×9 F×8 2×8 L4×8 P1×8 17(200)×8 2(200)×7 DE×7 9a(200)×6 18(200)×6 16(200)×6 48(200)×6 R3×6 62(200)×6 HM:2800×6 POUR×6 DES×5 M1×5 5c(200)×5 3d(200)×5,P1 17(200) 2 POUR ADDENDA ELE-002 2026-03-12 1 POUR ADDENDA ELE-001 2026-03-02 0 POUR SOUMISSIONS 2026-02-06 CES DOCUMENTS NE DOIVENT PAS ÊTRE UTILISÉS À DES FI
E301_ADD,ELectrique_Addenda ELE-002_Plans.pdf,6,3370.44,2383.92,5694x4028,addenda,407,1×11 RT×9 01×9 SE×7 DE×6 B5×5 5(600)×5 2×4 02×4 VE×4 POUR×4 DES×3 W.C.×3 SALLE×3 C/E×3 CE×3 03×3 36kW×3 A15×3 3(600)×3 2(600)×3 44(200)×3 12(200)×3 51(200)×3 42(200)×3,2 POUR ADDENDA ELE-002 2026-03-12 1 POUR ADDENDA ELE-001 2026-03-02 0 POUR SOUMISSIONS 2026-02-06 CES DOCUMENTS NE DOIVENT PAS ÊTRE UTILISÉS À DES FINS DE CONST
E002_ADD_2,Électrique_Addenda ELE-001_Plans.pdf,1,3370.44,2383.92,5694x4028,addenda,1486,"VA×101 A×89 1×71 15×59 DE×50 ÉCLAIRAGE×19 PRISE×17 3×14 /×13 PRISES×12 -×11 DOUBLE×11 AU×10 COURANT×10 CHAUFFAGE×10 C×10 TYPE×9 120V×9 POUR×9 12000×9 SALLE×8 À×8 15A,×8 (5-15R)×8 2×8",3#3 1#6V C.35mmø 4#500kcmil 1#3V C.103mmø 600 1 POUR ADDENDA ELE-001 2026-03-02 0 POUR SOUMISSIONS 2026-02-06 600A SF Q CES DOCUMENTS NE DOIVENT PAS ÊTRE UTILIS
E101_ADD_2,Électrique_Addenda ELE-001_Plans.pdf,2,3370.44,2383.92,5694x4028,addenda,1124,DE×56 V×22 50×19 BÉTON×17 1×16 150×14 EN×13 PAR×13 120×13 K×13 lm×13 VA×13 DEL×12 Non×12 COMPACTÉ×11 SURFACE×11 PVC×11 E-101×10 COOPER×10 LIGHTING×10 347×10 REMBLAYAGE×9 DU×9 PAVAGE×9 CONDUIT×9,1 3000mm 1 POUR ADDENDA ELE-001 2026-03-02 0 POUR SOUMISSIONS 2026-02-06 2 TYP CES DOCUMENTS NE DOIVENT PAS 2 ÊTRE UTILISÉS À DES FINS DE CONSTRUCTION. 3000mm 3
E201_ADD_2,Électrique_Addenda ELE-001_Plans.pdf,3,3370.44,2383.92,5694x4028,addenda,448,R1×30 D×12 L3×10 A1×10 7(200)×9 F×8 L4×8 P1×8 17(200)×8 1×7 2(200)×7 9a(200)×6 18(200)×6 16(200)×6 48(200)×6 R3×6 62(200)×6 HM:2800×6 M1×5 5c(200)×5 3d(200)×5 6(200)×5 15(200)×5 13(200)×5 DES×4,P1 17(200) 1 POUR ADDENDA ELE-001 2026-03-02 0 POUR SOUMISSIONS 2026-02-06 CES DOCUMENTS NE DOIVENT PAS ÊTRE UTILISÉS À DES FINS DE CONSTRUCTION. ÉLECTRICITÉ Ti
E301_ADD_2,Électrique_Addenda ELE-001_Plans.pdf,4,3370.44,2383.92,5694x4028,addenda,400,1×11 RT×9 01×9 SE×7 DE×6 B5×5 5(600)×5 02×4 VE×4 DES×3 W.C.×3 SALLE×3 C/E×3 CE×3 03×3 36kW×3 A15×3 3(600)×3 2(600)×3 44(200)×3 12(200)×3 51(200)×3 42(200)×3 par:×3 POUR×3,1 POUR ADDENDA ELE-001 2026-03-02 0 POUR SOUMISSIONS 2026-02-06 CES DOCUMENTS NE DOIVENT PAS ÊTRE UTILISÉS À DES FINS DE CONSTRUCTION. ÉLECTRICITÉ Titre: Échell
