page_scan,section,objet,quantite,um,vendant_unit,vendant,temps_unit_h,temps_total_h,feuille_zone
1,SOMMAIRE,Matériel coûtant,,,,30663.44,,,
1,SOMMAIRE,Service coûtant (manuscrit « 99/h »),,,,20790.00,,,
1,SOMMAIRE,Autres frais coûtant,,,,0.00,,,
1,SOMMAIRE,Sous-total / grand total,,,,51453.44,,,
1,SOMMAIRE,Heures chargées,210.000,h,,,,,
1,SOMMAIRE,Heures du relevé de matériel,202.270,h,,,,,
1,SOMMAIRE,Balance,-7.730,h,,,,,
2,ECLAIRAGE,PRIX DE LOT ECLAIRAGE,1,U,7887.77,7887.77,0.000,0.000,non indiquée
2,ECLAIRAGE,FIXTURE TYPE A,18,U,0.00,0.00,0.750,13.500,non indiquée
2,ECLAIRAGE,FIXTURE TYPE A1,4,U,0.00,0.00,0.750,3.000,non indiquée
2,ECLAIRAGE,FIXTURE TYPE B,8,U,0.00,0.00,0.750,6.000,non indiquée
2,ECLAIRAGE,FIXTURE TYPE B1,3,U,0.00,0.00,0.750,2.250,non indiquée
2,ECLAIRAGE,FIXTURE TYPE C,3,U,0.00,0.00,0.750,2.250,non indiquée
2,ECLAIRAGE,FIXTURE TYPE D,1,U,0.00,0.00,0.750,0.750,non indiquée
2,ECLAIRAGE,FIXTURE TYPE E,4,U,0.00,0.00,0.750,3.000,non indiquée
2,ECLAIRAGE,FIXTURE TYPE F,1,U,0.00,0.00,0.750,0.750,non indiquée
2,ECLAIRAGE,FIXTURE TYPE F1,1,U,0.00,0.00,0.750,0.750,non indiquée
2,ECLAIRAGE,FIXTURE TYPE G,1,U,0.00,0.00,0.750,0.750,non indiquée
2,ECLAIRAGE,ENSEIGNE SORTIE COMBO,1,U,0.00,0.00,1.000,1.000,non indiquée
2,ECLAIRAGE,TETE DOUBLE,3,U,0.00,0.00,0.500,1.500,non indiquée
2,ECLAIRAGE,TETE SIMPLE,2,U,0.00,0.00,0.500,1.000,non indiquée
2,ECLAIRAGE,GRADATEUR,4,U,85.00,340.00,0.350,1.400,non indiquée
2,ECLAIRAGE,interrupteur 15A 120V,4,U,69.63,278.52,1.075,4.300,non indiquée
2,ECLAIRAGE,alimentation d'éclairage 0-10 v [libellé tronqué],50,U,28.48,1424.00,0.040,2.000,non indiquée
2,ECLAIRAGE,drop de switch,4,U,49.33,197.32,0.950,3.800,non indiquée
2,ECLAIRAGE,conduit 3/4 03c12,220 (22s),P,,510.33,0.055,15.620,non indiquée
2,ECLAIRAGE,ANTISISMIQUE,45,U,20.00,900.00,0.250,11.250,non indiquée
2,ECLAIRAGE,Sous-total ECLAIRAGE,,,,11537.94,,74.870,non indiquée
2,CHAUFFAGE,PRIX DDE LOT CHAUFFAGE,1,U,5675.00,5675.00,0.000,0.000,non indiquée
2,CHAUFFAGE,CABLE CHAUFFANT,1,U,1309.24,1309.24,0.000,0.000,non indiquée
2,CHAUFFAGE,PLINTHE 1500W,7,U,0.00,0.00,0.800,5.600,non indiquée
2,CHAUFFAGE,PLINTHE 900W,2,U,0.00,0.00,0.600,1.200,non indiquée
2,CHAUFFAGE,PLANCHÉ CHAUFFANT 190 [libellé tronqué],2,U,0.00,0.00,6.000,12.000,non indiquée
3,CHAUFFAGE,THERMOSTAT PLANCHÉ CI [libellé tronqué],2,U,0.00,0.00,1.000,2.000,non indiquée
3,CHAUFFAGE,SONDE POUR PLANCHER C [libellé tronqué],1,U,0.00,0.00,0.750,0.750,non indiquée
3,CHAUFFAGE,THERMOSTAT,2,U,0.00,0.00,0.400,0.800,non indiquée
3,CHAUFFAGE,TRIAC,4,U,0.00,0.00,0.400,1.600,non indiquée
3,CHAUFFAGE,Sous-total CHAUFFAGE,,,,6984.24,,23.950,non indiquée
3,SERVICE,prise duplex 20a 125v GFI,4,U,58.16,232.64,1.300,5.200,non indiquée
3,SERVICE,prise duplex 15/20A 120V,1,U,54.22,54.22,1.225,1.225,non indiquée
3,SERVICE,prise duplex 15A 120V,11,U,56.14,617.54,1.175,12.925,non indiquée
3,SERVICE,tel/data,2,U,15.13,30.26,0.630,1.260,non indiquée
3,SERVICE,ECHANGEUR AIR,2,U,15.00,30.00,0.650,1.300,non indiquée
3,SERVICE,CONDENSEUR,2,U,15.00,30.00,0.850,1.700,non indiquée
3,SERVICE,ÉVAPORATEUR,1,U,15.00,15.00,0.650,0.650,non indiquée
3,SERVICE,CHAUFFE-EAU,2,U,15.00,30.00,0.500,1.000,non indiquée
3,SERVICE,SERPENTIN,5,U,15.00,75.00,0.650,3.250,non indiquée
3,SERVICE,INTERR 30A 3P 600V CEMA [libellé tronqué],2,U,133.49,266.98,1.000,2.000,non indiquée
3,SERVICE,"conduit 1""1/4 21c12",50 (5s),P,,545.90,0.173,10.150,non indiquée
3,SERVICE,conduit 2 27c12,50 (5s),P,,761.70,0.219,12.950,non indiquée
3,SERVICE,BOITE D 8X8X4PO CEMA1,5,U,12.21,61.05,0.600,3.000,non indiquée
3,SERVICE,COUV CARRE 4PO VIERGE,10,U,1.50,14.99,0.050,0.500,non indiquée
3,SERVICE,BOITE CARRE 2-1/8PO KO 1. [libellé tronqué],10,U,6.18,61.78,0.250,2.500,non indiquée
3,SERVICE,Sous-total SERVICE,,,,2827.06,,59.610,non indiquée
4,ALARME INCENDIE,PRIX DE LOT ALARME,1,U,3750.00,3750.00,0.000,0.000,non indiquée
4,ALARME INCENDIE,KLAXON,3,U,0.00,0.00,0.500,1.500,non indiquée
4,ALARME INCENDIE,RELO STATION MANUEL,1,U,0.00,0.00,1.000,1.000,non indiquée
4,ALARME INCENDIE,DÉTECTEUR A FUMÉE,5,U,0.00,0.00,0.500,2.500,non indiquée
4,ALARME INCENDIE,BOITIER PROTECTION STAT [libellé tronqué],1,U,0.00,0.00,0.500,0.500,non indiquée
4,ALARME INCENDIE,BOITE OCTOG 1-1/2PO KO 1 [libellé tronqué],5,U,7.96,39.82,0.200,1.000,non indiquée
4,ALARME INCENDIE,BOITE CARRE 1-1/2PO KO 1. [libellé tronqué],8,U,17.17,137.32,0.300,2.400,non indiquée
4,ALARME INCENDIE,COUV CARRE 4PO VIERGE,5,U,1.50,7.49,0.050,0.250,non indiquée
4,ALARME INCENDIE,BOITE RECT 2-1/2PO OREIL [libellé tronqué],1,U,5.80,5.80,0.200,0.200,non indiquée
4,ALARME INCENDIE,16AWG 3C ALARME ARME 3 [libellé tronqué],100,P,1.18,118.19,0.028,2.800,non indiquée
4,ALARME INCENDIE,CONN BX 3/8PO 1VIS ALLIA [libellé tronqué],20,U,0.78,15.62,0.050,1.000,non indiquée
4,ALARME INCENDIE,COND ALARME 3/16 FT4,150 (15s),P,,211.31,0.042,8.100,non indiquée
4,ALARME INCENDIE,Sous-total ALARME INCENDIE,,,,4285.55,,21.250,non indiquée
4,DISTRIBUTION,PRIX DE LOT DISTRIBUTION,1,U,3817.21,3817.21,0.000,0.000,non indiquée
4,DISTRIBUTION,PANNEAU 225A 120/240V 1F [libellé tronqué],1,U,0.00,0.00,10.000,10.000,non indiquée
4,DISTRIBUTION,DISJ MAITRE 200A 2P 1X30A [libellé tronqué],0,U,0.00,0.00,0.000,0.000,non indiquée
4,DISTRIBUTION,10X15A1P 5X20A1P,0,U,0.00,0.00,0.000,0.000,non indiquée
4,DISTRIBUTION,SECTIONNEUR 200A 120/24 [libellé tronqué],1,U,0.00,0.00,3.250,3.250,non indiquée
4,DISTRIBUTION,FUS 200A 600V D (AI) (AI),2,U,35.59,71.18,0.050,0.100,non indiquée
