cote,page_humaine,feuille_ia,libelle,x_px,y_px,x_norm,y_norm,x_px_ia,y_px_ia,statut,id,id_apparie,libelle_apparie,distance_px_ia
humain,00 Addenda MEP01_Plans-unlocked-page-00015,S267_ADD_4,ADD FIXTURE G2,2413,3418,0.3452,0.6915,1960,2772,appariée,H:00 Addenda MEP01_Plans-unlocked-page-00015:1,IA:S267_ADD_4:11,G2 Applique de zone type 2,16.1
humain,00 Addenda MEP01_Plans-unlocked-page-00015,S267_ADD_4,ADD FIXTURE G2,3469,3414,0.4962,0.6907,2814,2769,appariée,H:00 Addenda MEP01_Plans-unlocked-page-00015:2,IA:S267_ADD_4:12,G2 Applique de zone type 2,13.8
humain,00 Addenda MEP01_Plans-unlocked-page-00015,S267_ADD_4,ADD FIXTURE G2,3760,3227,0.5379,0.6528,3049,2616,appariée,H:00 Addenda MEP01_Plans-unlocked-page-00015:3,IA:S267_ADD_4:8,G2 Applique de zone type 2,25.6
humain,00 Addenda MEP01_Plans-unlocked-page-00015,S267_ADD_4,ADD FIXTURE G2,2669,3223,0.3818,0.6520,2167,2612,appariée,H:00 Addenda MEP01_Plans-unlocked-page-00015:4,IA:S267_ADD_4:7,G2 Applique de zone type 2,29.0
humain,00 Addenda MEP01_Plans-unlocked-page-00015,S267_ADD_4,ADD FIXTURE G2,3479,2682,0.4977,0.5426,2822,2170,appariée,H:00 Addenda MEP01_Plans-unlocked-page-00015:5,IA:S267_ADD_4:10,G2 Applique de zone type 2,8.3
humain,00 Addenda MEP01_Plans-unlocked-page-00015,S267_ADD_4,ADD FIXTURE G2,3757,2515,0.5374,0.5088,3047,2033,appariée,H:00 Addenda MEP01_Plans-unlocked-page-00015:6,IA:S267_ADD_4:6,G2 Applique de zone type 2,33.4
humain,00 Addenda MEP01_Plans-unlocked-page-00015,S267_ADD_4,ADD FIXTURE G2,2675,2516,0.3826,0.5090,2172,2034,appariée,H:00 Addenda MEP01_Plans-unlocked-page-00015:7,IA:S267_ADD_4:5,G2 Applique de zone type 2,32.0
humain,00 Addenda MEP01_Plans-unlocked-page-00015,S267_ADD_4,ADD FIXTURE G2,4171,1089,0.5966,0.2203,3381,867,appariée,H:00 Addenda MEP01_Plans-unlocked-page-00015:8,IA:S267_ADD_4:4,G2 Applique de zone type 2,17.5
humain,00 Addenda MEP01_Plans-unlocked-page-00015,S267_ADD_4,ADD FIXTURE G2,3472,1094,0.4967,0.2213,2816,871,appariée,H:00 Addenda MEP01_Plans-unlocked-page-00015:9,IA:S267_ADD_4:3,G2 Applique de zone type 2,20.8
humain,00 Addenda MEP01_Plans-unlocked-page-00015,S267_ADD_4,ADD FIXTURE G2,2769,1089,0.3961,0.2203,2248,867,appariée,H:00 Addenda MEP01_Plans-unlocked-page-00015:10,IA:S267_ADD_4:2,G2 Applique de zone type 2,17.1
humain,00 Addenda MEP01_Plans-unlocked-page-00015,S267_ADD_4,ADD FIXTURE G2,4170,3930,0.5965,0.7950,3381,3191,appariée,H:00 Addenda MEP01_Plans-unlocked-page-00015:11,IA:S267_ADD_4:20,G2 Applique de zone type 2,25.7
humain,00 Addenda MEP01_Plans-unlocked-page-00015,S267_ADD_4,ADD FIXTURE G2,3477,3937,0.4974,0.7965,2820,3197,appariée,H:00 Addenda MEP01_Plans-unlocked-page-00015:12,IA:S267_ADD_4:19,G2 Applique de zone type 2,19.4
humain,00 Addenda MEP01_Plans-unlocked-page-00015,S267_ADD_4,ADD FIXTURE G2,2772,3931,0.3965,0.7952,2250,3192,appariée,H:00 Addenda MEP01_Plans-unlocked-page-00015:13,IA:S267_ADD_4:18,G2 Applique de zone type 2,24.4
humain,00 Addenda MEP01_Plans-unlocked-page-00015,S267_ADD_4,ADD FIXTURE G2,2074,3935,0.2967,0.7961,1685,3195,appariée,H:00 Addenda MEP01_Plans-unlocked-page-00015:14,IA:S267_ADD_4:17,G2 Applique de zone type 2,21.0
humain,00 Addenda MEP01_Plans-unlocked-page-00015,S267_ADD_4,ADD FIXTURE G2,2417,2687,0.3457,0.5436,1963,2174,appariée,H:00 Addenda MEP01_Plans-unlocked-page-00015:15,IA:S267_ADD_4:9,G2 Applique de zone type 2,12.1
humain,00 Addenda MEP01_Plans-unlocked-page-00015,S267_ADD_4,ADD FIXTURE G2,2073,1083,0.2965,0.2191,1685,862,appariée,H:00 Addenda MEP01_Plans-unlocked-page-00015:16,IA:S267_ADD_4:1,G2 Applique de zone type 2,11.6
humain,00 Addenda MEP01_Plans-unlocked-page-00015,S267_ADD_4,ADD FIXTURE G2,866,2206,0.1239,0.4463,709,1780,appariée,H:00 Addenda MEP01_Plans-unlocked-page-00015:17,IA:S267_ADD_4:13,G2 Applique de zone type 2,23.1
humain,00 Addenda MEP01_Plans-unlocked-page-00015,S267_ADD_4,ADD FIXTURE G2,870,3128,0.1244,0.6328,712,2535,appariée,H:00 Addenda MEP01_Plans-unlocked-page-00015:18,IA:S267_ADD_4:14,G2 Applique de zone type 2,24.2
humain,00 Addenda MEP01_Plans-unlocked-page-00015,S267_ADD_4,ADD FIXTURE G2,681,2766,0.0974,0.5596,559,2239,appariée,H:00 Addenda MEP01_Plans-unlocked-page-00015:19,IA:S267_ADD_4:16,G2 Applique de zone type 2,18.6
humain,00 Addenda MEP01_Plans-unlocked-page-00015,S267_ADD_4,ADD FIXTURE G2,674,1679,0.0964,0.3397,553,1349,appariée,H:00 Addenda MEP01_Plans-unlocked-page-00015:20,IA:S267_ADD_4:15,G2 Applique de zone type 2,28.0
humain,00 Addenda MEP01_Plans-unlocked-page-00015,S267_ADD_4,ADD FIXTURE TYPE G3,1414,1848,0.2023,0.3739,1152,1488,appariée,H:00 Addenda MEP01_Plans-unlocked-page-00015:21,IA:S267_ADD_4:31,G3 Applique de zone type 3,19.7
humain,00 Addenda MEP01_Plans-unlocked-page-00015,S267_ADD_4,ADD FIXTURE TYPE G3,1415,2617,0.2024,0.5294,1153,2117,appariée,H:00 Addenda MEP01_Plans-unlocked-page-00015:22,IA:S267_ADD_4:30,G3 Applique de zone type 3,16.8
