page_humaine,document,page,feuille_ia,plan_ia,methode,score,transformation,dims_humain,marques_humain,doublons,marques_ia_feuille,appariees,manquantes_ia,en_trop_ia_feuille,lignes_humain,lignes_ia_feuille,second_candidat,note
00 Électricité_Plans_pour AO - 3,00 Électricité_Plans_pour AO,3,S267_ADD_4,S267_ADD_4,géométrie,1.000,"0°, échelle x=0.4350 y=0.4350, translation (12, -30) px IA",13011x9204 (fichier de dimensions),47,47,65,0,0,13,7,0,S267_ADD_22 (0.32),le nom désignait S267_3 (score identité 0.00) ; la géométrie désigne S267_ADD_4
00 Électricité_Plans_pour AO - 5,00 Électricité_Plans_pour AO,5,S267_ADD_21,S267_ADD_21,géométrie,1.000,"0°, échelle x=0.4373 y=0.4423, translation (2, -50) px IA",13011x9204 (fichier de dimensions),270,270,272,0,0,1,2,0,S267_ADD_22 (0.86),le nom désignait S267_5 (score identité 0.00) ; la géométrie désigne S267_ADD_21
00 Électricité_Plans_pour AO - 6,00 Électricité_Plans_pour AO,6,S267_ADD_22,S267_ADD_22,géométrie,1.000,"0°, échelle x=0.4220 y=0.4281, translation (83, 65) px IA",13011x9204 (fichier de dimensions),262,262,305,0,0,108,1,0,S267_ADD_21 (0.81),le nom désignait S267_6 (score identité 0.00) ; la géométrie désigne S267_ADD_22
00 Électricité_Plans_pour AO - 7,00 Électricité_Plans_pour AO,7,S267_ADD_23,S267_ADD_23,géométrie,1.000,"0°, échelle x=0.4375 y=0.4475, translation (3, -73) px IA",13011x9204 (fichier de dimensions),9,9,12,0,0,6,3,0,S267_ADD_22 (1.00),le nom désignait S267_7 (score identité 0.00) ; la géométrie désigne S267_ADD_23 ; AMBIGU : S267_ADD_22 obtient 1.00
00 Électricité_Plans_pour AO - 8,00 Électricité_Plans_pour AO,8,S267_ADD_24,S267_ADD_24,géométrie,0.986,"0°, échelle x=0.4350 y=0.4350, translation (26, 21) px IA",13011x9204 (fichier de dimensions),142,142,150,0,0,0,2,0,S267_ADD_22 (0.88),le nom désignait S267_8 (score identité 0.00) ; la géométrie désigne S267_ADD_24
00 Addenda MEP01_Plans-unlocked-page-00015,00 Addenda MEP01_Plans,15,S267_ADD_4,S267_ADD_4,géométrie,0.982,"0°, échelle x=0.8087 y=0.8181, translation (8, -24) px IA",6991x4943 (estimées (médiane du document)),55,0,65,52,3,13,9,0,S267_ADD_22 (0.35),le nom désignait S267_ADD_20 (score identité 0.00) ; la géométrie désigne S267_ADD_4
00 Addenda MEP01_Plans-unlocked-page-00016,00 Addenda MEP01_Plans,16,S267_ADD_21,S267_ADD_21,nom,1.000,"0°, échelle x=0.8092 y=0.8131, translation (7, -20) px IA",7036x4954 (estimées par recalage sur S267_ADD_21 (score 1.00)),271,0,272,271,0,1,0,0,,
00 Addenda MEP01_Plans-unlocked-page-00017,00 Addenda MEP01_Plans,17,S267_ADD_22,S267_ADD_22,nom,1.000,"0°, échelle x=0.8107 y=0.8060, translation (1, 18) px IA",6973x4933 (estimées par recalage sur S267_ADD_22 (score 1.00)),199,0,305,197,2,108,17,0,,
00 Addenda MEP01_Plans-unlocked-page-00018,00 Addenda MEP01_Plans,18,S267_ADD_23,S267_ADD_23,nom,1.000,"0°, échelle x=0.8107 y=0.8406, translation (1, -118) px IA",6935x5026 (estimées par recalage sur S267_ADD_23 (score 1.00)),6,0,12,6,0,6,0,0,,
00 Addenda MEP01_Plans-unlocked-page-00019,00 Addenda MEP01_Plans,19,S267_ADD_24,S267_ADD_24,nom,1.000,"0°, échelle x=0.8124 y=0.8185, translation (-4, -24) px IA",7009x4921 (estimées par recalage sur S267_ADD_24 (score 1.00)),150,0,150,150,0,0,2,0,,
00 Addenda MEP-02_Plans - 4,00 Addenda MEP-02_Plans,4,S267_ADD_4,S267_ADD_4,nom,,,11233x7945 (fichier de dimensions),0,0,65,0,0,13,3,0,,page sans marque
,00 Addenda MEP01_Plans.pdf,20,S267_ADD_25,S267_ADD_25,feuille IA sans page humaine,,,,0,0,3,0,0,3,0,0,,
,00 Addenda MEP-02_Plans.pdf,3,S267_ADD_3,S267_ADD_3,feuille IA sans page humaine,,,,0,0,4,0,0,4,0,0,,
