document,page_scan,page_acceo,section,objet,quantite,um,retenu,note
relevé alarme incendie.pdf,1,1,Général (demande de prix alarme),PANNEAU ALARME INCENDIE,1,U,non,version antérieure; total projet
relevé alarme incendie.pdf,1,1,Général (demande de prix alarme),PANNEAU ANNOCIATEUR,1,U,non,total projet
relevé alarme incendie.pdf,1,1,Général (demande de prix alarme),POWER SUPPLY X6,12,U,non,=2/bât.
relevé alarme incendie.pdf,1,1,Général (demande de prix alarme),STATION MANUEL X6,54,U,non,=9/bât.
relevé alarme incendie.pdf,1,1,Général (demande de prix alarme),STROB X6,30,U,non,=5/bât. (final: 6)
relevé alarme incendie.pdf,1,1,Général (demande de prix alarme),KLAXON STROB X6,384,U,non,=64/bât. (final: 63)
relevé alarme incendie.pdf,1,1,Général (demande de prix alarme),DÉTECTEUR A FIMÉE X6,216,U,non,=36/bât. (final: 44)
relevé alarme incendie.pdf,1,1,Général (demande de prix alarme),DÉTECTEUR A FUMÉE FL-RX X6,18,U,non,=3/bât.
relevé alarme incendie.pdf,1,1,Général (demande de prix alarme),DÉTECTEUR A FUMÉE FL-TX X6,18,U,non,=3/bât.
relevé alarme incendie.pdf,1,1,Général (demande de prix alarme),DÉTECTEUR DE GAINE X6,36,U,non,=6/bât.
relevé alarme incendie.pdf,1,1,Général (demande de prix alarme),INTERFACE ADRESSABLE X6,12,U,non,=2/bât.
relevé alarme incendie.pdf,1,1,Général (demande de prix alarme),ARM RELAIS ADRESSABLE X6,60,U,non,=10/bât.
relevé final Daniel.pdf,1,-,Sommaire de la soumission,Matériel coûtant,2523413.11,$,info,
relevé final Daniel.pdf,1,-,Sommaire de la soumission,Service coûtant,1663200.00,$,info,
relevé final Daniel.pdf,1,-,Sommaire de la soumission,Grand total,4186613.18,$,info,
relevé final Daniel.pdf,1,-,Sommaire de la soumission,Heures chargées,16800.000,h,info,
relevé final Daniel.pdf,1,-,Sommaire de la soumission,Heures du relevé de matériel,16796.431,h,info,
relevé final Daniel.pdf,1,-,Sommaire de la soumission,Balance,-3.569,h,info,
relevé final Daniel.pdf,1,-,Note manuscrite,FIXTURE DANS LAMPADAIRE TEMPORAIRE,,,info,manuscrit
relevé final Daniel.pdf,2,1,ALARME INCENDIE DEMANDE DE PRIX (barré),PANNEAU ALARME INCEND,6,U,non,section barrée; ×6 bât.
relevé final Daniel.pdf,2,1,ALARME INCENDIE DEMANDE DE PRIX (barré),PANNEAU ANNOCIATEUR,6,U,non,barré
relevé final Daniel.pdf,2,1,ALARME INCENDIE DEMANDE DE PRIX (barré),POWER SUPPLY X6,12,U,non,barré
relevé final Daniel.pdf,2,1,ALARME INCENDIE DEMANDE DE PRIX (barré),STATION MANUEL X6,54,U,non,barré
relevé final Daniel.pdf,2,1,ALARME INCENDIE DEMANDE DE PRIX (barré),STROB X6,30,U,non,barré
relevé final Daniel.pdf,2,1,ALARME INCENDIE DEMANDE DE PRIX (barré),KLAXON STROB X6,384,U,non,barré
relevé final Daniel.pdf,2,1,ALARME INCENDIE DEMANDE DE PRIX (barré),DÉTECTEUR A FIMÉE X6,216,U,non,barré
relevé final Daniel.pdf,2,1,ALARME INCENDIE DEMANDE DE PRIX (barré),DÉTECTEUR A FUMÉE FL-R,18,U,non,barré; libellé tronqué
relevé final Daniel.pdf,2,1,ALARME INCENDIE DEMANDE DE PRIX (barré),DÉTECTEUR A FUMÉE FL-T,18,U,non,barré; libellé tronqué
relevé final Daniel.pdf,2,1,ALARME INCENDIE DEMANDE DE PRIX (barré),DÉTECTEUR DE GAINE X,36,U,non,barré
relevé final Daniel.pdf,2,1,ALARME INCENDIE DEMANDE DE PRIX (barré),INTERFACE ADRESSABLE,12,U,non,barré
relevé final Daniel.pdf,2,1,ALARME INCENDIE DEMANDE DE PRIX (barré),ARM RELAIS ADRESSABLE,60,U,non,barré
relevé final Daniel.pdf,2,1,DISTRIBUTION DEMANDE DE PRIX (barré),PANN PRINCIPAL PE-3PPN4,6,U,non,barré; description sur 4 lignes à 0
relevé final Daniel.pdf,2,1,DISTRIBUTION DEMANDE DE PRIX (barré),C/A MAIN 350A 3P C/A DISP(...),0,U,non,ligne descriptive
relevé final Daniel.pdf,2,1,DISTRIBUTION DEMANDE DE PRIX (barré),DU BATIMENT 1X150A3P 3X(...),0,U,non,ligne descriptive
