libelle,avant,apres,ecart
Alarme existante — à classer,4,4,0
Dém. chauffage — à classer,3,3,0
Dém. luminaire 1x4 / segment linéaire,1888,1888,0
Dém. luminaire 2x2,6,6,0
Dém. luminaire 2x4,554,554,0
Dém. luminaire rond encastré,85,85,0
Dém. prise plafond projecteur,13,13,0
Dém. éclairage — à classer,27,27,0
Détecteur fumée existant — dépose/repose temp.,192,192,0
Détecteur sécurité (M) — par autres,13,13,0
Haut-parleur classe — par autres,3,3,0
Haut-parleur existant — dépose/entreposage,152,142,-10
Luminaire 24h existant — dépose/repose temp.,218,218,0
Prise existante — à classer,4,4,0
Repère EAC — existant à conserver,54,54,0
Station manuelle existante (F) — à confirmer,32,32,0
Éclairage existant carré — à classer,55,55,0
Éclairage existant — à classer,5,5,0
TOTAL,3308,3298,-10
