feuille,x_pt,y_pt,diametre_pt,statut
D410,963.0,340.5,10.7,relevé
D410,1215.1,453.5,10.7,relevé
D410,1475.0,453.5,10.6,relevé
D410,1684.0,453.5,10.6,relevé
D410,963.0,511.3,10.7,relevé
D410,1215.1,660.9,10.7,relevé
D410,1492.8,660.9,10.6,relevé
D410,1684.0,660.9,10.6,relevé
D410,1913.0,704.7,10.6,relevé
D410,1655.7,857.9,10.7,relevé
D410,1215.1,868.4,10.7,relevé
D410,1492.8,868.4,10.6,relevé
D410,1909.1,930.3,10.7,relevé
D410,1215.4,1076.0,10.6,relevé
D410,1526.6,1076.0,10.6,relevé
D410,1730.4,1088.7,10.6,relevé
D410,1189.6,1200.2,10.6,relevé
D410,1274.6,1360.9,10.6,relevé
D410,1551.4,1360.9,10.6,relevé
D410,1900.3,1431.0,10.6,relevé
D410,1900.3,1655.5,10.6,relevé
D410,1745.5,1681.1,10.6,relevé
D410,1900.3,1811.4,10.6,relevé
D411,1153.5,123.2,10.6,relevé
D411,426.7,190.7,10.6,relevé
D411,651.2,269.9,10.6,relevé
D411,427.6,433.4,10.6,relevé
D411,1499.1,503.7,10.6,relevé
D411,1187.7,503.8,10.6,relevé
D411,1191.9,574.7,10.6,relevé
D411,1741.6,695.6,10.6,relevé
D411,567.2,713.7,10.6,relevé
D411,1015.4,714.0,10.6,relevé
D411,1290.0,714.0,10.6,relevé
D411,1741.0,973.0,10.6,relevé
D411,1741.3,1267.6,10.6,relevé
D411,1741.3,1509.4,10.6,relevé
D411,1709.4,1595.5,10.6,relevé
D411,1085.0,1595.7,10.6,relevé
D411,466.4,1595.8,10.6,relevé
D411,806.8,1595.9,10.7,relevé
D411,1533.1,1612.6,10.6,relevé
D411,742.9,1759.9,10.6,relevé
D411,706.2,1915.7,10.6,relevé
D411,1123.5,2001.1,10.7,relevé
D411,633.3,2087.9,10.6,relevé
D411,735.2,2087.9,10.6,relevé
D411,838.5,2087.9,10.7,relevé
D411,941.6,2087.9,10.6,relevé
D411,1047.9,2087.9,10.6,relevé
D412,1672.5,1026.7,10.6,"doublon de D411 (1153.5, 123.2) — retiré"
D412,945.7,1094.2,10.6,"doublon de D411 (426.7, 190.7) — retiré"
D412,1170.1,1173.4,10.6,"doublon de D411 (651.2, 269.9) — retiré"
D413,871.1,329.7,10.6,relevé
D413,870.7,368.7,10.6,relevé
D413,1195.4,382.0,10.6,relevé
D413,550.6,636.9,10.7,relevé
D413,839.9,702.4,10.6,relevé
D413,855.6,967.3,10.6,relevé
D413,1029.9,967.3,10.6,relevé
D413,1167.1,1128.7,10.6,relevé
D413,746.9,1413.7,10.6,relevé
D413,887.4,1458.4,10.6,relevé
D413,1011.4,1656.7,10.6,relevé
D413,828.4,1772.7,10.6,relevé
D413,775.2,2047.4,10.6,relevé
D420,1290.8,380.7,10.6,remplacé (feuille révisée par T-01)
D420,1544.3,386.8,10.7,remplacé (feuille révisée par T-01)
D420,1819.1,386.8,10.6,remplacé (feuille révisée par T-01)
D420,2218.6,386.8,10.6,remplacé (feuille révisée par T-01)
D420,945.5,447.7,10.6,remplacé (feuille révisée par T-01)
D420,1668.0,587.3,10.6,remplacé (feuille révisée par T-01)
D420,1270.3,588.5,10.6,remplacé (feuille révisée par T-01)
D420,1495.0,588.5,10.7,remplacé (feuille révisée par T-01)
D420,1979.4,613.9,10.6,remplacé (feuille révisée par T-01)
D420,1974.5,703.6,10.6,remplacé (feuille révisée par T-01)
D420,908.5,717.0,10.6,remplacé (feuille révisée par T-01)
D420,1101.3,753.2,10.6,remplacé (feuille révisée par T-01)
D420,1806.3,814.1,10.6,remplacé (feuille révisée par T-01)
D420,909.2,986.3,10.6,remplacé (feuille révisée par T-01)
D420,1300.2,990.1,10.6,remplacé (feuille révisée par T-01)
D420,1510.8,1017.4,10.6,remplacé (feuille révisée par T-01)
D420,1101.3,1063.9,10.6,remplacé (feuille révisée par T-01)
D420,1104.3,1205.9,10.6,remplacé (feuille révisée par T-01)
D420,1328.2,1221.2,10.7,remplacé (feuille révisée par T-01)
D420,1569.1,1221.2,10.7,remplacé (feuille révisée par T-01)
D420,1760.4,1221.2,10.7,remplacé (feuille révisée par T-01)
D420,882.0,1292.9,10.6,remplacé (feuille révisée par T-01)
D420,740.4,1342.9,10.6,remplacé (feuille révisée par T-01)
D420,1085.9,1394.2,10.6,remplacé (feuille révisée par T-01)
D420,1278.6,1394.2,10.6,remplacé (feuille révisée par T-01)
D420,1495.7,1394.2,10.6,remplacé (feuille révisée par T-01)
D420,1974.8,1499.2,10.7,remplacé (feuille révisée par T-01)
D420,674.9,1521.1,10.6,remplacé (feuille révisée par T-01)
D420,961.0,1547.7,10.6,remplacé (feuille révisée par T-01)
D420,1084.9,1689.1,10.6,remplacé (feuille révisée par T-01)
D420,1394.7,1735.6,10.6,remplacé (feuille révisée par T-01)
D420,1567.0,1735.6,10.7,remplacé (feuille révisée par T-01)
D420,1747.1,1735.6,10.6,remplacé (feuille révisée par T-01)
D420,856.5,1845.8,10.6,remplacé (feuille révisée par T-01)
D420,2083.6,1860.9,10.6,remplacé (feuille révisée par T-01)
D420,1121.1,1947.6,10.6,remplacé (feuille révisée par T-01)
D420,1549.7,2010.4,10.6,remplacé (feuille révisée par T-01)
D420,1388.4,2011.1,10.6,remplacé (feuille révisée par T-01)
D420,2187.0,2055.0,10.6,remplacé (feuille révisée par T-01)
D420,1756.1,2062.1,10.6,remplacé (feuille révisée par T-01)
D420,976.8,2082.4,10.6,remplacé (feuille révisée par T-01)
D421,788.8,385.3,10.6,remplacé (feuille révisée par T-01)
D421,1023.4,385.3,10.6,remplacé (feuille révisée par T-01)
D421,1258.6,385.3,10.6,remplacé (feuille révisée par T-01)
D421,1494.2,385.3,10.6,remplacé (feuille révisée par T-01)
D421,1729.5,385.3,10.6,remplacé (feuille révisée par T-01)
D421,1964.7,385.3,10.6,remplacé (feuille révisée par T-01)
D421,843.4,585.8,10.6,remplacé (feuille révisée par T-01)
D421,1033.8,585.8,10.7,remplacé (feuille révisée par T-01)
D421,1241.6,585.8,10.6,remplacé (feuille révisée par T-01)
D421,1414.7,585.8,10.7,remplacé (feuille révisée par T-01)
D421,1656.4,585.8,10.7,remplacé (feuille révisée par T-01)
D421,2001.9,585.8,10.6,remplacé (feuille révisée par T-01)
D421,549.6,612.4,10.6,remplacé (feuille révisée par T-01)
D421,544.8,702.1,10.7,remplacé (feuille révisée par T-01)
D421,843.3,702.8,10.6,remplacé (feuille révisée par T-01)
D421,1334.8,702.8,10.7,remplacé (feuille révisée par T-01)
D421,1052.2,737.7,10.6,remplacé (feuille révisée par T-01)
D421,1744.1,755.0,10.6,remplacé (feuille révisée par T-01)
D421,1914.2,909.5,10.7,remplacé (feuille révisée par T-01)
D421,545.1,1497.7,10.6,remplacé (feuille révisée par T-01)
D421,1882.3,1516.3,10.6,remplacé (feuille révisée par T-01)
D421,1050.8,1670.3,10.7,remplacé (feuille révisée par T-01)
D421,1339.2,1670.3,10.6,remplacé (feuille révisée par T-01)
D421,1882.3,1670.3,10.6,remplacé (feuille révisée par T-01)
D421,1854.7,1841.2,10.6,remplacé (feuille révisée par T-01)
D421,1347.0,1841.7,10.6,remplacé (feuille révisée par T-01)
D421,1587.9,1841.7,10.6,remplacé (feuille révisée par T-01)
D421,1169.4,1842.3,10.6,remplacé (feuille révisée par T-01)
D421,860.5,1842.5,10.7,remplacé (feuille révisée par T-01)
D421,653.9,1859.5,10.6,remplacé (feuille révisée par T-01)
D421,1056.6,2011.9,10.6,remplacé (feuille révisée par T-01)
D421,757.3,2053.5,10.7,remplacé (feuille révisée par T-01)
D421,1226.4,2053.5,10.6,remplacé (feuille révisée par T-01)
D421,1461.7,2053.5,10.7,remplacé (feuille révisée par T-01)
D421,1697.3,2053.5,10.6,remplacé (feuille révisée par T-01)
D421,1932.4,2053.5,10.6,remplacé (feuille révisée par T-01)
D422,952.9,343.4,10.6,remplacé (feuille révisée par T-01)
D422,311.5,352.4,10.6,remplacé (feuille révisée par T-01)
D422,642.1,352.4,10.6,remplacé (feuille révisée par T-01)
D422,329.0,544.0,10.6,remplacé (feuille révisée par T-01)
D422,640.2,544.0,10.6,remplacé (feuille révisée par T-01)
D422,771.5,737.5,10.6,remplacé (feuille révisée par T-01)
D422,771.5,945.0,10.6,remplacé (feuille révisée par T-01)
D422,319.6,1808.1,10.7,remplacé (feuille révisée par T-01)
D422,629.7,1808.1,10.6,remplacé (feuille révisée par T-01)
D420_ADD,1290.8,380.7,10.6,relevé
D420_ADD,1544.3,386.8,10.6,relevé
D420_ADD,1819.1,386.8,10.7,relevé
D420_ADD,945.5,447.7,10.6,relevé
D420_ADD,1668.0,587.3,10.6,relevé
D420_ADD,1270.3,588.5,10.6,relevé
D420_ADD,1494.9,588.5,10.6,relevé
D420_ADD,1979.3,613.9,10.7,relevé
D420_ADD,1974.5,703.6,10.7,relevé
D420_ADD,908.5,717.0,10.6,relevé
D420_ADD,1101.3,753.2,10.6,relevé
D420_ADD,1806.3,814.1,10.6,relevé
D420_ADD,909.2,986.3,10.6,relevé
D420_ADD,1300.2,990.1,10.6,relevé
D420_ADD,1510.8,1017.4,10.7,relevé
D420_ADD,1101.3,1063.9,10.6,relevé
D420_ADD,1104.3,1205.9,10.6,relevé
D420_ADD,1328.2,1221.2,10.7,relevé
D420_ADD,1569.1,1221.2,10.6,relevé
D420_ADD,1760.4,1221.2,10.6,relevé
D420_ADD,882.0,1292.9,10.6,relevé
D420_ADD,740.4,1342.9,10.6,relevé
D420_ADD,1085.9,1394.2,10.6,relevé
D420_ADD,1278.6,1394.2,10.6,relevé
D420_ADD,1495.7,1394.2,10.6,relevé
D420_ADD,1974.8,1499.2,10.6,relevé
