feuille,label,x_pt,y_pt,source,note,raison
D412,Haut-parleur existant — dépose/entreposage,1170.1,1172.2,visuel,"disque noir Ø10,6 pt (lecture vectorielle)","doublon : même haut-parleur que D411 (651.2, 269.9), vues superposées"
D412,Haut-parleur existant — dépose/entreposage,945.7,1093.0,visuel,"disque noir Ø10,6 pt (lecture vectorielle)","doublon : même haut-parleur que D411 (426.7, 190.7), vues superposées"
D412,Haut-parleur existant — dépose/entreposage,1672.5,1025.5,visuel,"disque noir Ø10,6 pt (lecture vectorielle)","doublon : même haut-parleur que D411 (1153.5, 123.2), vues superposées"
D420,Haut-parleur existant — dépose/entreposage,976.8,2081.2,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,1121.1,1946.5,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,856.4,1844.6,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,961.0,1546.5,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,674.9,1519.9,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,740.4,1341.7,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,882.0,1291.8,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,1084.9,1687.9,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,1085.9,1393.0,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,1104.3,1204.7,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,1388.4,2009.9,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,1756.1,2061.0,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,1549.7,2009.2,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,1394.7,1734.4,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,1567.0,1734.4,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,1747.1,1734.4,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,1806.3,812.9,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,1510.8,1016.2,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,1300.2,988.9,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,1495.7,1393.0,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,1278.6,1393.0,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,1974.8,1498.0,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,1760.4,1220.0,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,1569.1,1220.0,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,1328.2,1220.0,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,1101.3,752.0,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,1101.3,1062.7,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,1270.3,587.4,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,1495.0,587.4,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,1668.0,586.1,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,945.5,446.5,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,1290.8,379.5,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,1544.3,385.6,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,1819.1,385.6,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
D420,Haut-parleur existant — dépose/entreposage,1979.3,612.7,visuel,"disque noir Ø10,6 pt (lecture vectorielle)",feuille remplacée par D420_ADD (addenda T-01)
