etage,feuille_a,feuille_b,candidats,part_commune,dx_pt,dy_pt,recouvrement,doublons
RDC,D410,D411,617,0.015,190.9,60.0,non,0
RDC,D410,D412,69,0.016,-207.1,-832.9,non,0
RDC,D410,D413,299,0.016,-232.4,-41.5,non,0
RDC,D411,D412,79,0.223,-519.0,-903.5,oui,3
RDC,D411,D413,351,0.022,-362.0,-176.9,non,0
RDC,D412,D413,39,0.017,170.5,-953.2,non,0
ÉTAGE (original),D420,D421,1471,0.208,1429.8,1.5,oui,6
ÉTAGE (original),D420,D422,369,0.015,268.3,173.0,non,0
ÉTAGE (original),D421,D422,324,0.021,203.2,41.8,non,0
ÉTAGE (T-01),D420_ADD,D421_ADD,1215,0.031,520.9,1.5,non,0
ÉTAGE (T-01),D420_ADD,D422_ADD,342,0.012,788.1,43.3,non,0
ÉTAGE (T-01),D421_ADD,D422_ADD,288,0.02,274.7,41.8,non,0
