page_scan,section,objet,quantite,um,vendant_unit,vendant,temps_unit_h,temps_total_h,feuille_zone,note
1,SOMMAIRE,Matériel — vendant,,lot,,102659.19,,,non indiquée (export sans ventilation),
1,SOMMAIRE,Service — vendant,,lot,,89250.00,,,non indiquée (export sans ventilation),
1,SOMMAIRE,Autres frais — vendant,,lot,,0.00,,,non indiquée (export sans ventilation),
1,SOMMAIRE,Grand total,,lot,,191909.19,,,non indiquée (export sans ventilation),
1,SOMMAIRE,Heures chargées,1050,h,,,,,non indiquée (export sans ventilation),
1,SOMMAIRE,Heures du relevé de matériel,1044.005,h,,,,,non indiquée (export sans ventilation),
1,SOMMAIRE,Balance heures,-5.995,h,,,,,non indiquée (export sans ventilation),
1,SOMMAIRE,Manuscrit « $185.00 » (près des heures chargées),,,185.00,,,,non indiquée (export sans ventilation),taux horaire probable
1,SOMMAIRE,Manuscrit « TRANCHER PAR AUTRE »,,,,,,,non indiquée (export sans ventilation),note manuscrite sans quantité
1,SOMMAIRE,Manuscrit « LIFT = »,,,,,,,non indiquée (export sans ventilation),note manuscrite sans quantité
1,SOMMAIRE,Manuscrit « TEMPORAIRE = »,,,,,,,non indiquée (export sans ventilation),note manuscrite sans quantité
1,SOMMAIRE,Manuscrit « TRAVAUX PAR PHASE »,,,,,,,non indiquée (export sans ventilation),note manuscrite sans quantité
2,ECLAIRAGE,PRIX DE LOT ECLAIRAGE,1,U,62303.31,62303.31,0.000,0.000,non indiquée (export sans ventilation),
2,ECLAIRAGE,FIXT TYPE D3-N,122,U,0.00,0.00,0.150,18.300,non indiquée (export sans ventilation),
2,ECLAIRAGE,FIXT TYPE D3-NT1,6,U,0.00,0.00,0.150,0.900,non indiquée (export sans ventilation),
2,ECLAIRAGE,FIXT TYPE D4-NTI,19,U,0.00,0.00,0.150,2.850,non indiquée (export sans ventilation),
2,ECLAIRAGE,FIXT TYPE D4-N,27,U,0.00,0.00,0.150,4.050,non indiquée (export sans ventilation),
2,ECLAIRAGE,FIXT TYPE TYPE G3,1,U,0.00,0.00,0.650,0.650,non indiquée (export sans ventilation),
2,ECLAIRAGE,FIXT TYPE G4,3,U,0.00,0.00,0.750,2.250,non indiquée (export sans ventilation),
2,ECLAIRAGE,FIXT TYPE J1,8,U,0.00,0.00,0.750,6.000,non indiquée (export sans ventilation),
2,ECLAIRAGE,FIXT TYPE K3,3,U,0.00,0.00,0.650,1.950,non indiquée (export sans ventilation),
2,ECLAIRAGE,FIXT TYPE O8-N,2,U,0.00,0.00,1.250,2.500,non indiquée (export sans ventilation),
2,ECLAIRAGE,FIXT TYPE P1,4,U,0.00,0.00,0.850,3.400,non indiquée (export sans ventilation),
2,ECLAIRAGE,FIXT TYPE P2,29,U,0.00,0.00,0.850,24.650,non indiquée (export sans ventilation),
2,ECLAIRAGE,FIXT TYPE R4-NS,5,U,0.00,0.00,0.750,3.750,non indiquée (export sans ventilation),
2,ECLAIRAGE,FIXT TYPE R6-NS,5,U,0.00,0.00,1.000,5.000,non indiquée (export sans ventilation),
2,ECLAIRAGE,FIXT TYPE R8-NS,9,U,0.00,0.00,1.250,11.250,non indiquée (export sans ventilation),
2,ECLAIRAGE,FIXT TYPE R12-N,22,U,0.00,0.00,1.500,33.000,non indiquée (export sans ventilation),
2,ECLAIRAGE,FIXT TYPE S20-N,5,U,0.00,0.00,2.000,10.000,non indiquée (export sans ventilation),
2,ECLAIRAGE,FIXT TYPE T,12,U,0.00,0.00,1.000,12.000,non indiquée (export sans ventilation),
2,ECLAIRAGE,ENSEIGNE SORTIE,5,U,0.00,0.00,1.000,5.000,non indiquée (export sans ventilation),
2,ECLAIRAGE,COUPLING RAIL,23,U,0.00,0.00,0.300,6.900,non indiquée (export sans ventilation),
2,ECLAIRAGE,CONNECTEUR RAIL,6,U,0.00,0.00,0.500,3.000,non indiquée (export sans ventilation),
2,ECLAIRAGE,90 DEGRE RAIL1,2,U,0.00,0.00,0.300,0.600,non indiquée (export sans ventilation),
2,ECLAIRAGE,TETE DOUBLE,9,U,0.00,0.00,0.500,4.500,non indiquée (export sans ventilation),
2,ECLAIRAGE,TETE SIMPLE,5,U,0.00,0.00,0.500,2.500,non indiquée (export sans ventilation),
2,ECLAIRAGE,NPP20,4,U,0.00,0.00,1.000,4.000,non indiquée (export sans ventilation),
2,ECLAIRAGE,NPP16,2,U,0.00,0.00,0.750,1.500,non indiquée (export sans ventilation),
2,ECLAIRAGE,WSXA,4,U,0.00,0.00,0.500,2.000,non indiquée (export sans ventilation),
2,ECLAIRAGE,WSXA-G,3,U,0.00,0.00,0.500,1.500,non indiquée (export sans ventilation),
2,ECLAIRAGE,NPP-PCD,1,U,0.00,0.00,0.500,0.500,non indiquée (export sans ventilation),
2,ECLAIRAGE,NPOD,1,U,0.00,0.00,0.500,0.500,non indiquée (export sans ventilation),
2,ECLAIRAGE,NPODMA,1,U,0.00,0.00,0.500,0.500,non indiquée (export sans ventilation),
2,ECLAIRAGE,drop de switch,10,U,55.15,551.50,0.950,9.500,non indiquée (export sans ventilation),
2,ECLAIRAGE,SUSPENTION FIXT TYPE P2,33,U,15.00,495.00,0.500,16.500,non indiquée (export sans ventilation),
2,ECLAIRAGE,RAIL 1-5/8X1-5/8PO ACIER,620,P,11.29,7000.42,0.100,62.000,non indiquée (export sans ventilation),
2,ECLAIRAGE,NOIX HEX 3/8PO,600,U,0.17,103.62,0.000,0.000,non indiquée (export sans ventilation),
2,ECLAIRAGE,RONDEL BLOCAGE 3/8PO,600,U,0.08,46.32,0.000,0.000,non indiquée (export sans ventilation),
2,ECLAIRAGE,TIGE FILETE 3/8PO,1500,P,0.64,965.25,0.040,60.000,non indiquée (export sans ventilation),
2,ECLAIRAGE,RONDELLE GALVANISE 3/8,600,U,0.09,51.90,0.000,0.000,non indiquée (export sans ventilation),
2,ECLAIRAGE,NOIX RESS 3/8PO RAIL,600,U,1.84,1106.22,0.000,0.000,non indiquée (export sans ventilation),
2,ECLAIRAGE,CROCHET ACIER PLAF,140,U,5.22,730.18,0.250,35.000,non indiquée (export sans ventilation),
2,ECLAIRAGE,conduit 3/4 03c10 (65s),650,P,,1813.29,0.058,48.100,non indiquée (export sans ventilation),
2,ECLAIRAGE,conduit 3/4 03c12 (138s),1380,P,,3118.36,0.055,97.980,non indiquée (export sans ventilation),
2,ECLAIRAGE,18AWG 3C PVC FT4 600V GI,1500,P,0.41,612.50,0.007,3.200,non indiquée (export sans ventilation),
2,ECLAIRAGE,BOITE OCTOG 1-1/2PO KO 1,20,U,7.96,159.26,0.200,4.000,non indiquée (export sans ventilation),
3,ECLAIRAGE,COUV CARRE 4PO VIERGE,60,U,1.50,89.91,0.050,3.000,non indiquée (export sans ventilation),
3,ECLAIRAGE,BOITE CARRE 2-1/8PO KO 1.,60,U,6.18,370.67,0.250,15.000,non indiquée (export sans ventilation),
3,ECLAIRAGE,alimentation d'éclairage 0-10 v,125,U,32.05,4006.25,0.350,43.750,non indiquée (export sans ventilation),
3,ECLAIRAGE,PARASIMIC,125,U,10.00,1250.00,0.250,31.250,non indiquée (export sans ventilation),
3,ECLAIRAGE,PANDUIT UTP28SP3BU COP,12,U,18.63,223.56,0.250,3.000,non indiquée (export sans ventilation),
3,ECLAIRAGE,PATCH CORD 15PI 5E BLEU,10,U,19.14,191.40,0.250,2.500,non indiquée (export sans ventilation),
3,ECLAIRAGE,PANDUIT UPPBU25 ZONE C,5,U,74.35,371.75,0.250,1.250,non indiquée (export sans ventilation),
3,ECLAIRAGE,Sous-total ÉCLAIRAGE,,lot,,85560.67,,611.530,non indiquée (export sans ventilation),
3,DEMOLITION,ENLEVEMENT FIXTURE,204,U,0.00,0.00,0.500,102.000,non indiquée (export sans ventilation),
3,DEMOLITION,ENLEVER PRISE,65,U,0.00,0.00,0.350,22.750,non indiquée (export sans ventilation),
3,DEMOLITION,Sous-total DÉMOLITION,,lot,,0.00,,124.750,non indiquée (export sans ventilation),
3,SERVICE,prise duplex 15A 120V GFI,2,U,59.69,119.38,1.225,2.450,non indiquée (export sans ventilation),
3,SERVICE,prise duplex 15/20A 120V,47,U,55.97,2630.59,1.225,57.575,non indiquée (export sans ventilation),
3,SERVICE,tel/data,10,U,13.96,139.60,0.630,6.300,non indiquée (export sans ventilation),
3,SERVICE,MONUMEN PLANCHER DOU,5,U,450.00,2250.00,1.000,5.000,non indiquée (export sans ventilation),
3,SERVICE,MONUMENT PLANCHER SIM,2,U,250.00,500.00,1.000,2.000,non indiquée (export sans ventilation),
3,SERVICE,SÉCHOIREA MAIN,2,U,1350.00,2700.00,1.000,2.000,non indiquée (export sans ventilation),
3,SERVICE,RELO PLINTHE CHAUFFANT,5,U,25.00,125.00,1.000,5.000,non indiquée (export sans ventilation),
3,SERVICE,TRANCHER BETON,250,U,0.00,0.00,0.000,0.000,non indiquée (export sans ventilation),
3,SERVICE,HAUT PARLEUR,9,U,0.00,0.00,1.000,9.000,non indiquée (export sans ventilation),
3,SERVICE,RELO SONDE,1,U,0.00,0.00,1.000,1.000,non indiquée (export sans ventilation),
4,SERVICE,ACCOUPL CPV 1PO,35,U,2.52,88.34,0.000,0.000,non indiquée (export sans ventilation),
4,SERVICE,COUDE CPV 1PO 90D,16,U,7.58,121.33,0.150,2.400,non indiquée (export sans ventilation),
4,SERVICE,ADAPT F CPV 1PO,10,U,4.03,40.33,0.140,1.400,non indiquée (export sans ventilation),
4,SERVICE,COND CPV 1PO 10PI,250,P,2.35,588.73,0.060,15.000,non indiquée (export sans ventilation),
4,SERVICE,COLLE SOLVANT CPV 475M,1,U,28.37,28.37,0.000,0.000,non indiquée (export sans ventilation),
4,SERVICE,ADAPT M CPV 1PO,10,U,3.08,30.82,0.140,1.400,non indiquée (export sans ventilation),
4,SERVICE,ACCOUPL CPV 1-1/2PO (AI),13,U,4.46,58.03,0.000,0.000,non indiquée (export sans ventilation),
