cote,page_humaine,feuille_ia,libelle,x_px,y_px,x_norm,y_norm,x_px_ia,y_px_ia,statut,id,id_apparie,libelle_apparie,distance_px_ia
humain,E400,E400,Accumulateur 36W,1796,2926,0.3154,0.7275,1796,2926,appariée,H:E400:1,IA:E400:1,Accumulateur c/a 2 phares,12.7
humain,E400,E400,Accumulateur 36W,2097,3164,0.3683,0.7867,2097,3165,appariée,H:E400:2,IA:E400:3,Accumulateur c/a 2 phares,12.9
humain,E400,E400,Accumulateur 36W,1819,3058,0.3195,0.7603,1819,3058,appariée,H:E400:3,IA:E400:2,Accumulateur c/a 2 phares,12.6
humain,E400,E400,Accumulateur 36W + enseigne,1365,2978,0.2397,0.7404,1365,2978,appariée,H:E400:4,IA:E400:5,Accumulateur c/a 2 phares + enseigne,16.6
humain,E400,E400,Accumulateur 36W + enseigne,2014,1595,0.3537,0.3966,2014,1594,appariée,H:E400:5,IA:E400:6,Accumulateur c/a 2 phares + enseigne (flèche),35.9
humain,E400,E400,Accumulateur 36W + enseigne,1390,1739,0.2441,0.4324,1390,1738,appariée,H:E400:6,IA:E400:4,Accumulateur c/a 2 phares + enseigne,50.3
humain,E400,E400,Bouton-poussoir B,1366,2932,0.2399,0.7290,1366,2932,appariée,H:E400:7,IA:E400:7,Bouton-poussoir (B),0.5
humain,E400,E400,Détecteur inoccupation Do,2284,1800,0.4011,0.4475,2284,1799,appariée,H:E400:8,IA:E400:8,Détecteur inoccupation mural (Do),0.7
humain,E400,E400,Détecteur inoccupation Do,2065,2285,0.3627,0.5681,2065,2285,appariée,H:E400:9,IA:E400:9,Détecteur inoccupation mural (Do),0.3
humain,E400,E400,Détecteur inoccupation Do,1470,2387,0.2582,0.5935,1470,2387,appariée,H:E400:10,IA:E400:10,Détecteur inoccupation mural (Do),0.4
humain,E400,E400,Détecteur inoccupation Do,1773,2460,0.3114,0.6116,1773,2460,appariée,H:E400:11,IA:E400:11,Détecteur inoccupation mural (Do),0.2
humain,E400,E400,Détecteur inoccupation Do,1809,2458,0.3177,0.6111,1809,2458,appariée,H:E400:12,IA:E400:12,Détecteur inoccupation mural (Do),0.1
humain,E400,E400,Détecteur inoccupation Do,2065,2454,0.3627,0.6101,2065,2454,appariée,H:E400:13,IA:E400:13,Détecteur inoccupation mural (Do),0.1
humain,E400,E400,Détecteur inoccupation Do,1529,2692,0.2685,0.6693,1529,2692,appariée,H:E400:14,IA:E400:14,Détecteur inoccupation mural (Do),0.3
humain,E400,E400,Détecteur inoccupation Do,1775,3058,0.3117,0.7603,1775,3058,appariée,H:E400:15,IA:E400:15,Détecteur inoccupation mural (Do),0.5
humain,E400,E400,Détecteur inoccupation Do,1563,3134,0.2745,0.7792,1563,3134,appariée,H:E400:16,IA:E400:16,Détecteur inoccupation mural (Do),0.6
humain,E400,E400,Détecteur inoccupation Do,1367,3263,0.2401,0.8113,1367,3264,appariée,H:E400:17,IA:E400:17,Détecteur inoccupation mural (Do),0.7
humain,E400,E400,Détecteur inoccupation Do,1147,2652,0.2014,0.6594,1146,2652,appariée,H:E400:18,IA:E400:20,Détecteur inoccupation plafond (Do),0.6
humain,E400,E400,Détecteur inoccupation Do,1502,2888,0.2638,0.7181,1502,2888,appariée,H:E400:19,IA:E400:18,Détecteur inoccupation mural (Do),0.4
humain,E400,E400,Détecteur inoccupation Do,1147,2984,0.2014,0.7419,1146,2984,appariée,H:E400:20,IA:E400:21,Détecteur inoccupation plafond (Do),0.7
humain,E400,E400,Détecteur inoccupation Do,1682,2888,0.2954,0.7181,1682,2888,appariée,H:E400:21,IA:E400:19,Détecteur inoccupation mural (Do),0.3
humain,E400,E400,Enseigne de sortie,1485,1716,0.2608,0.4267,1485,1715,appariée,H:E400:22,IA:E400:23,Enseigne issue 1 face murale tout droit,2.8
humain,E400,E400,Enseigne de sortie,2067,2939,0.3630,0.7307,2067,2939,appariée,H:E400:23,IA:E400:25,Enseigne issue 2 faces murale,8.9
humain,E400,E400,Enseigne de sortie,2230,2958,0.3916,0.7355,2230,2958,appariée,H:E400:24,IA:E400:22,Enseigne issue 1 face murale (flèche),3.2
humain,E400,E400,Enseigne de sortie,2213,2999,0.3887,0.7456,2213,2999,appariée,H:E400:25,IA:E400:24,Enseigne issue 1 face murale tout droit,1.6
humain,E400,E400,Interrupteur,2132,1754,0.3744,0.4361,2132,1753,appariée,H:E400:26,IA:E400:26,Interrupteur unipolaire,0.7
humain,E400,E400,Luminaire DR2,2136,1687,0.3751,0.4194,2136,1686,appariée,H:E400:27,IA:E400:27,Luminaire DR2,0.8
humain,E400,E400,Luminaire DR5,2370,1762,0.4162,0.4381,2370,1761,appariée,H:E400:28,IA:E400:28,Luminaire DR5,0.8
humain,E400,E400,Luminaire DR5,2525,1762,0.4434,0.4381,2525,1761,appariée,H:E400:29,IA:E400:29,Luminaire DR5,0.8
humain,E400,E400,Luminaire DR5,2678,1762,0.4703,0.4381,2679,1761,appariée,H:E400:30,IA:E400:30,Luminaire DR5,0.9
humain,E400,E400,Luminaire DR5,1957,2323,0.3437,0.5776,1957,2323,appariée,H:E400:31,IA:E400:31,Luminaire DR5,0.2
humain,E400,E400,Luminaire DR5,1489,2528,0.2615,0.6285,1489,2528,appariée,H:E400:32,IA:E400:32,Luminaire DR5,0.3
humain,E400,E400,Luminaire DR5,1436,2707,0.2522,0.6730,1436,2707,appariée,H:E400:33,IA:E400:33,Luminaire DR5,0.4
humain,E400,E400,Luminaire DR5,1717,3178,0.3015,0.7902,1717,3179,appariée,H:E400:34,IA:E400:34,Luminaire DR5,0.6
humain,E400,E400,Luminaire DR5,1975,3178,0.3469,0.7902,1975,3179,appariée,H:E400:35,IA:E400:35,Luminaire DR5,0.5
humain,E400,E400,Luminaire DR5,1717,3396,0.3015,0.8444,1717,3397,appariée,H:E400:36,IA:E400:36,Luminaire DR5,0.7
humain,E400,E400,Luminaire DR5,1975,3396,0.3469,0.8444,1975,3397,appariée,H:E400:37,IA:E400:37,Luminaire DR5,0.7
humain,E400,E400,Luminaire DR5,1508,3409,0.2648,0.8476,1508,3410,appariée,H:E400:38,IA:E400:38,Luminaire DR5,0.8
humain,E400,E400,Luminaire DR5,1508,3166,0.2648,0.7872,1508,3167,appariée,H:E400:39,IA:E400:39,Luminaire DR5,0.6
humain,E400,E400,Luminaire DR5,1047,3174,0.1839,0.7892,1046,3175,appariée,H:E400:40,IA:E400:40,Luminaire DR5,0.9
humain,E400,E400,Luminaire DR5,1283,3174,0.2253,0.7892,1283,3175,appariée,H:E400:41,IA:E400:41,Luminaire DR5,0.7
humain,E400,E400,Luminaire DR5,1047,3379,0.1839,0.8401,1046,3380,appariée,H:E400:42,IA:E400:42,Luminaire DR5,1.0
humain,E400,E400,Luminaire DR5,1283,3379,0.2253,0.8401,1283,3380,appariée,H:E400:43,IA:E400:43,Luminaire DR5,0.9
humain,E400,E400,Luminaire DR5,990,3016,0.1739,0.7499,989,3016,appariée,H:E400:44,IA:E400:44,Luminaire DR5,0.8
humain,E400,E400,Luminaire DR5,1229,3012,0.2158,0.7489,1228,3012,appariée,H:E400:45,IA:E400:45,Luminaire DR5,0.7
humain,E400,E400,Luminaire DR5,999,2483,0.1754,0.6174,998,2483,appariée,H:E400:46,IA:E400:46,Luminaire DR5,0.7
humain,E400,E400,Luminaire DR5,999,2673,0.1754,0.6646,998,2673,appariée,H:E400:47,IA:E400:47,Luminaire DR5,0.7
humain,E400,E400,Luminaire DR5,999,2857,0.1754,0.7103,998,2857,appariée,H:E400:48,IA:E400:48,Luminaire DR5,0.7
humain,E400,E400,Luminaire DR5,1232,2490,0.2164,0.6191,1231,2490,appariée,H:E400:49,IA:E400:49,Luminaire DR5,0.5
humain,E400,E400,Luminaire DR5,1232,2673,0.2164,0.6646,1231,2673,appariée,H:E400:50,IA:E400:50,Luminaire DR5,0.5
humain,E400,E400,Luminaire DR5,1232,2857,0.2164,0.7103,1231,2857,appariée,H:E400:51,IA:E400:51,Luminaire DR5,0.6
humain,E400,E400,Luminaire DR5,1493,2819,0.2622,0.7009,1493,2819,appariée,H:E400:52,IA:E400:52,Luminaire DR5,0.4
