label,famille,forme,rgb,jeton_regex,description,source
Luminaire DS0,luminaire,cercle,,DS0,STANPRO CDU4R-G2-PS3Q/3CWH 120V LED 3500K 765lm 9W (ponctuel),E102 tableau des appareils d'éclairage ligne DS0
Luminaire DS0 service continu,luminaire,cercle,,,DS0 dessiné en service continu (symbole orange avec point),E102 ligne DS0 + E103 légende éclairage « luminaire en service continu »
Luminaire DS1,luminaire,carre,,DS1,STANPRO L2STR-48LP45-Q/3C 120V LED 4000K 2640lm 38W,E102 tableau des appareils d'éclairage ligne DS1
Luminaire DS1 service continu,luminaire,carre,,,DS1 dessiné en service continu (symbole orange avec point),E102 ligne DS1 + E103 légende éclairage « luminaire en service continu »
Luminaire DS2,luminaire,cercle,,DS2,STANPRO CDU6R-G2-PS3Q/3CWH LED 3500K 2640lm 16W,E102 tableau des appareils d'éclairage ligne DS2
Luminaire DS4,luminaire,carre,,DS4,STANPRO L1KSL-4LS2U-PS50-3C-WH LED 3500K 20W,E102 tableau des appareils d'éclairage ligne DS4
Luminaire DR2,luminaire,carre,,DR2,LITHONIA LOW PROFILE LED WRAPAROUND BLWP2 20L 17W plafond/mur,E102 tableau des appareils d'éclairage ligne DR2
Luminaire DR5,luminaire,carre,,DR5,LITHONIA LOW PROFILE LED WRAPAROUND BLWP4 40L 20W plafond/mur,E102 tableau des appareils d'éclairage ligne DR5
Luminaire DR5 service continu,luminaire,carre,,,DR5 dessiné en service continu (symbole orange avec point),E102 ligne DR5 + E103 légende éclairage « luminaire en service continu »
Luminaire DR51,luminaire,carre,,DR51,LITHONIA BLWP4 40L DIM10 38W détecteur mvt 2 niv. (note 1),E102 tableau des appareils d'éclairage ligne DR51
Luminaire DR51 service continu,luminaire,carre,,,DR51 dessiné en service continu (symbole orange avec point),E102 ligne DR51 + E103 légende éclairage « luminaire en service continu »
Luminaire DR52,luminaire,carre,,DR52,LITHONIA BLWP4 40L DIM10 38W détecteur mvt 2 niv. (note 1),E102 tableau des appareils d'éclairage ligne DR52
Luminaire DR52 service continu,luminaire,carre,,,DR52 dessiné en service continu (symbole orange avec point),E102 ligne DR52 + E103 légende éclairage « luminaire en service continu »
