objet,quantite,feuille,page_scan,verification
B,1,E400,10,transcription v1 vérifiée (non relue en v2)
BATTERIE UNIT 2T 36W,3,E400,10,transcription v1 vérifiée (non relue en v2)
COMBO,3,E400,10,transcription v1 vérifiée (non relue en v2)
DO,10,E400,10,transcription v1 vérifiée (non relue en v2)
DO 3V,2,E400,10,transcription v1 vérifiée (non relue en v2)
DO PL,2,E400,10,transcription v1 vérifiée (non relue en v2)
EXIT,4,E400,10,transcription v1 vérifiée (non relue en v2)
FIXTURE TYPE DR2,1,E400,10,transcription v1 vérifiée (non relue en v2)
FIXTURE TYPE DR5,29,E400,10,transcription v1 vérifiée (non relue en v2)
FIXTURE TYPE DR51,8,E400,10,transcription v1 vérifiée (non relue en v2)
FIXTURE TYPE DR52,5,E400,10,transcription v1 vérifiée (non relue en v2)
FIXTURE TYPE DW4,3,E400,10,transcription v1 vérifiée (non relue en v2)
INT,1,E400,10,transcription v1 vérifiée (non relue en v2)
TETE DOUBLE,1,E400,10,transcription v1 vérifiée (non relue en v2)
TETE SIMPLE,4,E400,10,transcription v1 vérifiée (non relue en v2)
BATTERIE UNIT 2T 36W,3,E401,11,transcription v1 vérifiée (non relue en v2)
B,17,E401,11,transcription v1 vérifiée (non relue en v2)
COMBO 18W,2,E401,11,transcription v1 vérifiée (non relue en v2)
COMBO,2,E401,11,transcription v1 vérifiée (non relue en v2)
DI PL,14,E401,11,transcription v1 vérifiée (non relue en v2)
DO PL,19,E401,11,transcription v1 vérifiée (non relue en v2)
DO,9,E401,11,transcription v1 vérifiée (non relue en v2)
EXIT,10,E401,11,transcription v1 vérifiée (non relue en v2)
FIXTURE TYPE DR2,1,E401,11,transcription v1 vérifiée (non relue en v2)
FIXTURE TYPE DMWI CME-01,2,E401,11,transcription v1 vérifiée (non relue en v2)
FIXTURE TYPE DR5,11,E401,11,transcription v1 vérifiée (non relue en v2)
FIXTURE TYPE DR51,2,E401,11,transcription v1 vérifiée (non relue en v2)
FIXTURE TYPE DR52,2,E401,11,transcription v1 vérifiée (non relue en v2)
FIXTURE TYPE DS0,50,E401,11,transcription v1 vérifiée (non relue en v2)
FIXTURE TYPE DS1,77,E401,11,transcription v1 vérifiée (non relue en v2)
FIXTURE TYPE DS2,2,E401,11,transcription v1 vérifiée (non relue en v2)
FIXTURE TYPE DW4,6,E401,11,transcription v1 vérifiée (non relue en v2)
INT,1,E401,11,transcription v1 vérifiée (non relue en v2)
TETE DOUBLE,7,E401,11,transcription v1 vérifiée (non relue en v2)
TETE SIMPLE,3,E401,11,transcription v1 vérifiée (non relue en v2)
BA,2,E402,12,transcription v1 vérifiée (non relue en v2)
BATTERIE UNIT 2T 36W,5,E402,12,transcription v1 vérifiée (non relue en v2)
B,31,E402,12,transcription v1 vérifiée (non relue en v2)
COMBO,1,E402,12,transcription v1 vérifiée (non relue en v2)
DI PL,16,E402,12,transcription v1 vérifiée (non relue en v2)
DO PL,34,E402,12,transcription v1 vérifiée (non relue en v2)
DO,8,E402,12,transcription v1 vérifiée (non relue en v2)
EXIT,9,E402,12,transcription v1 vérifiée (non relue en v2)
FIXTURE TYPE DR2,1,E402,12,transcription v1 vérifiée (non relue en v2)
FIXTURE TYPE DR5,3,E402,12,transcription v1 vérifiée (non relue en v2)
FIXTURE TYPE DR51,31,E402,12,transcription v1 vérifiée (non relue en v2)
FIXTURE TYPE DR52,2,E402,12,transcription v1 vérifiée (non relue en v2)
FIXTURE TYPE DS0,99,E402,12,transcription v1 vérifiée (non relue en v2)
FIXTURE TYPE DS1,60,E402,12,transcription v1 vérifiée (non relue en v2)
FIXTURE TYPE DS4,1,E402,12,transcription v1 vérifiée (non relue en v2)
INT,1,E402,12,transcription v1 vérifiée (non relue en v2)
TETE DOUBLE,8,E402,12,transcription v1 vérifiée (non relue en v2)
TETE SIMPLE,4,E402,12,transcription v1 vérifiée (non relue en v2)
BATTERIE UNIT 2T 36W,5,E403,13,transcription v1 vérifiée (non relue en v2)
B,9,E403,13,transcription v1 vérifiée (non relue en v2)
DI PL,10,E403,13,transcription v1 vérifiée (non relue en v2)
DO PL,8,E403,13,transcription v1 vérifiée (non relue en v2)
DO,5,E403,13,transcription v1 vérifiée (non relue en v2)
EXIT,5,E403,13,transcription v1 vérifiée (non relue en v2)
FIXTURE TYPE DR2,1,E403,13,transcription v1 vérifiée (non relue en v2)
FIXTURE TYPE DMWI CME-01,5,E403,13,transcription v1 vérifiée (non relue en v2)
FIXTURE TYPE DR5,7,E403,13,transcription v1 vérifiée (non relue en v2)
FIXTURE TYPE DR51,2,E403,13,transcription v1 vérifiée (non relue en v2)
FIXTURE TYPE DR52,2,E403,13,transcription v1 vérifiée (non relue en v2)
FIXTURE TYPE DS0,26,E403,13,transcription v1 vérifiée (non relue en v2)
